|Team|Current Price|Season Start PriceSeason Price|Points/Million
0|Mercedes|$33.8m|$34.5m|1.38
1|Red Bull|$32.1m|$32.5m|1.59
2|Ferrari|$25.8m|$25.0m|2.06
3|Mclaren|$17.5m|$18.5m|1.37
4|Alpine|$14.0m|$14.0m|0.98
5|Aston Martin|$11.0m|$11.5m|1.55
6|AlphaTauri|$10.1m|$10.5m|1.41
7|Alfa Romeo|$8.3m|$8.0m|2.8
8|Haas|$6.7m|$6.0m|1.83
9|Williams|$6.5m|$7.0m|1.5
