|Team|12 Hour|3 Hour|Latest|Sentiment|ts
0|Ferrari|1|1|1|82%|2022-06-09 16:34:03
1|Aston Martin|1|1|1|47%|2022-06-09 16:34:03
2|Williams|6|2|1|12%|2022-06-09 16:34:03
3|AlphaTauri|-2|-2|-1|-2%|2022-06-09 16:34:03
4|Alfa Romeo|1|0|0|-3%|2022-06-09 16:34:03
5|Mercedes|-2|-1|-1|-15%|2022-06-09 16:34:03
6|Mclaren|-1|0|0|-42%|2022-06-09 16:34:03
7|Haas|-2|0|0|-64%|2022-06-09 16:34:03
8|Alpine|0|0|0|-71%|2022-06-09 16:34:03
9|Red Bull|2|1|0|-73%|2022-06-09 16:34:03
