|Driver|12 Hour|3 Hour|Latest|Sentiment|ts
0|George Russell  RUS  Mercedes|5|0|0|85%|2022-06-10 01:29:41
1|Pierre Gasly  GAS  AlphaTauri|0|0|0|77%|2022-06-10 01:29:41
2|Lance Stroll  STR  Aston Martin|42|19|4|42%|2022-06-10 01:29:41
3|Mick Schumacher  SCH  Haas|-7|-2|-1|42%|2022-06-10 01:29:41
4|Charles Leclerc  LEC  Ferrari|1|0|0|39%|2022-06-10 01:29:41
5|Valtteri Bottas  BOT  Alfa Romeo|11|2|0|34%|2022-06-10 01:29:41
6|Sergio Perez  PER  Red Bull|10|0|0|22%|2022-06-10 01:29:41
7|Kevin Magnussen  MAG  Haas|1|0|0|21%|2022-06-10 01:29:41
8|Max Verstappen  VER  Red Bull|-2|0|0|0%|2022-06-10 01:29:41
9|Lando Norris  NOR  Mclaren|-5|-1|0|0%|2022-06-10 01:29:41
10|Fernando Alonso  ALO  Alpine|-2|0|0|-12%|2022-06-10 01:29:41
11|SAI  Carlos Sainz  Ferrari|1|0|0|-21%|2022-06-10 01:29:41
12|Nicholas Latifi  LAT  Williams|3|0|0|-27%|2022-06-10 01:29:41
13|Guanyu Zhou  ZHO  Alfa Romeo|-28|-8|-1|-28%|2022-06-10 01:29:41
14|Esteban Ocon  OCO  Alpine|-4|-1|0|-50%|2022-06-10 01:29:41
15|Yuki Tsunoda  TSU  AlphaTauri|0|0|0|-54%|2022-06-10 01:29:41
16|Sebastian Vettel  VET  Aston Martin|0|0|0|-77%|2022-06-10 01:29:41
17|Alex Albon  ALB  Williams|-15|-3|-1|-81%|2022-06-10 01:29:41
18|Lewis Hamilton  HAM  Mercedes|-1|0|0|-83%|2022-06-10 01:29:41
19|Daniel Ricciardo  RIC  Mclaren|-4|-1|-1|-99%|2022-06-10 01:29:41
