|Driver|12 Hour|3 Hour|Latest|Sentiment|ts
0|Lance Stroll  STR  Aston Martin|9|0|0|92%|2022-06-06 21:16:02
1|Valtteri Bottas  BOT  Alfa Romeo|10|3|0|82%|2022-06-06 21:16:02
2|Pierre Gasly  GAS  AlphaTauri|0|0|0|80%|2022-06-06 21:16:02
3|Mick Schumacher  SCH  Haas|-5|-1|0|72%|2022-06-06 21:16:02
4|Lando Norris  NOR  Mclaren|-2|0|0|40%|2022-06-06 21:16:02
5|George Russell  RUS  Mercedes|24|7|1|37%|2022-06-06 21:16:02
6|Charles Leclerc  LEC  Ferrari|1|1|0|32%|2022-06-06 21:16:02
7|Guanyu Zhou  ZHO  Alfa Romeo|21|11|2|21%|2022-06-06 21:16:02
8|Kevin Magnussen  MAG  Haas|0|0|0|15%|2022-06-06 21:16:02
9|Max Verstappen  VER  Red Bull|0|0|0|2%|2022-06-06 21:16:02
10|Fernando Alonso  ALO  Alpine|0|0|0|0%|2022-06-06 21:16:02
11|Esteban Ocon  OCO  Alpine|-1|-1|0|-1%|2022-06-06 21:16:02
12|SAI  Carlos Sainz  Ferrari|-1|0|0|-31%|2022-06-06 21:16:02
13|Nicholas Latifi  LAT  Williams|0|0|0|-31%|2022-06-06 21:16:02
14|Sergio Perez  PER  Red Bull|-21|-7|-1|-46%|2022-06-06 21:16:02
15|Yuki Tsunoda  TSU  AlphaTauri|-1|-1|0|-51%|2022-06-06 21:16:02
16|Daniel Ricciardo  RIC  Mclaren|-5|-2|-1|-54%|2022-06-06 21:16:02
17|Lewis Hamilton  HAM  Mercedes|0|0|0|-77%|2022-06-06 21:16:02
18|Sebastian Vettel  VET  Aston Martin|0|-1|0|-79%|2022-06-06 21:16:02
19|Alex Albon  ALB  Williams|-19|-6|-1|-83%|2022-06-06 21:16:02
