|Driver|12 Hour|3 Hour|Latest|Sentiment|ts
0|Lewis Hamilton  HAM  Mercedes||||%|2022-06-11 15:33:06
1|George Russell  RUS  Mercedes||||%|2022-06-11 15:33:06
2|Charles Leclerc  LEC  Ferrari||||%|2022-06-11 15:33:06
3|SAI  Carlos Sainz  Ferrari||||%|2022-06-11 15:33:06
4|Max Verstappen  VER  Red Bull||||%|2022-06-11 15:33:06
5|Sergio Perez  PER  Red Bull||||%|2022-06-11 15:33:06
6|Daniel Ricciardo  RIC  Mclaren||||%|2022-06-11 15:33:06
7|Lando Norris  NOR  Mclaren||||%|2022-06-11 15:33:06
8|Sebastian Vettel  VET  Aston Martin||||%|2022-06-11 15:33:06
9|Lance Stroll  STR  Aston Martin||||%|2022-06-11 15:33:06
10|Fernando Alonso  ALO  Alpine||||%|2022-06-11 15:33:06
11|Esteban Ocon  OCO  Alpine||||%|2022-06-11 15:33:06
12|Pierre Gasly  GAS  AlphaTauri||||%|2022-06-11 15:33:06
13|Yuki Tsunoda  TSU  AlphaTauri||||%|2022-06-11 15:33:06
14|Alex Albon  ALB  Williams||||%|2022-06-11 15:33:06
15|Nicholas Latifi  LAT  Williams||||%|2022-06-11 15:33:06
16|Valtteri Bottas  BOT  Alfa Romeo||||%|2022-06-11 15:33:06
17|Guanyu Zhou  ZHO  Alfa Romeo||||%|2022-06-11 15:33:06
18|Mick Schumacher  SCH  Haas||||%|2022-06-11 15:33:06
19|Kevin Magnussen  MAG  Haas||||%|2022-06-11 15:33:06
