|Driver|12 Hour|3 Hour|Latest|Sentiment|ts
0|George Russell  RUS  Mercedes|-6|-5|-1|79%|2022-06-10 10:56:35
1|Pierre Gasly  GAS  AlphaTauri|-1|0|0|76%|2022-06-10 10:56:35
2|Charles Leclerc  LEC  Ferrari|-1|0|0|38%|2022-06-10 10:56:35
3|Valtteri Bottas  BOT  Alfa Romeo|5|1|0|38%|2022-06-10 10:56:35
4|Sergio Perez  PER  Red Bull|13|9|2|35%|2022-06-10 10:56:35
5|Mick Schumacher  SCH  Haas|-9|-4|0|35%|2022-06-10 10:56:35
6|Kevin Magnussen  MAG  Haas|-1|-1|0|20%|2022-06-10 10:56:35
7|Lance Stroll  STR  Aston Martin|17|17|0|17%|2022-06-10 10:56:35
8|Max Verstappen  VER  Red Bull|0|0|0|0%|2022-06-10 10:56:35
9|Fernando Alonso  ALO  Alpine|10|10|2|-2%|2022-06-10 10:56:35
10|Daniel Ricciardo  RIC  Mclaren|-4|-3|0|-4%|2022-06-10 10:56:35
11|Lando Norris  NOR  Mclaren|-11|-8|-1|-10%|2022-06-10 10:56:35
12|SAI  Carlos Sainz  Ferrari|0|0|0|-21%|2022-06-10 10:56:35
13|Nicholas Latifi  LAT  Williams|3|2|0|-24%|2022-06-10 10:56:35
14|Yuki Tsunoda  TSU  AlphaTauri|7|6|1|-47%|2022-06-10 10:56:35
15|Esteban Ocon  OCO  Alpine|-7|-4|0|-56%|2022-06-10 10:56:35
16|Guanyu Zhou  ZHO  Alfa Romeo|-42|-19|0|-64%|2022-06-10 10:56:35
17|Sebastian Vettel  VET  Aston Martin|1|0|0|-76%|2022-06-10 10:56:35
18|Lewis Hamilton  HAM  Mercedes|-2|-1|0|-85%|2022-06-10 10:56:35
19|Alex Albon  ALB  Williams|-16|-8|0|-95%|2022-06-10 10:56:35
