|Driver|12 Hour|3 Hour|Latest|Sentiment|ts
0|Pierre Gasly  GAS  AlphaTauri|4|2|0|88%|2022-06-12 07:53:20
1|Fernando Alonso  ALO  Alpine|2|1|0|59%|2022-06-12 07:53:20
2|Guanyu Zhou  ZHO  Alfa Romeo|67|1|0|56%|2022-06-12 07:53:20
3|Sergio Perez  PER  Red Bull|7|6|0|53%|2022-06-12 07:53:20
4|Valtteri Bottas  BOT  Alfa Romeo|0|0|0|52%|2022-06-12 07:53:20
5|George Russell  RUS  Mercedes|3|3|0|44%|2022-06-12 07:53:20
6|Charles Leclerc  LEC  Ferrari|-2|-2|-1|37%|2022-06-12 07:53:20
7|Mick Schumacher  SCH  Haas|0|0|0|14%|2022-06-12 07:53:20
8|Kevin Magnussen  MAG  Haas|8|-1|-1|11%|2022-06-12 07:53:20
9|Daniel Ricciardo  RIC  Mclaren|0|1|0|5%|2022-06-12 07:53:20
10|Yuki Tsunoda  TSU  AlphaTauri|1|1|0|-2%|2022-06-12 07:53:20
11|Nicholas Latifi  LAT  Williams|1|1|0|-12%|2022-06-12 07:53:20
12|Esteban Ocon  OCO  Alpine|-3|-3|0|-14%|2022-06-12 07:53:20
13|Max Verstappen  VER  Red Bull|0|0|0|-16%|2022-06-12 07:53:20
14|SAI  Carlos Sainz  Ferrari|-2|-2|0|-23%|2022-06-12 07:53:20
15|Lando Norris  NOR  Mclaren|-2|-2|-1|-25%|2022-06-12 07:53:20
16|Sebastian Vettel  VET  Aston Martin|1|1|0|-59%|2022-06-12 07:53:20
17|Lance Stroll  STR  Aston Martin|-61|-1|0|-61%|2022-06-12 07:53:20
18|Lewis Hamilton  HAM  Mercedes|-1|-1|0|-96%|2022-06-12 07:53:20
19|Alex Albon  ALB  Williams|-1|0|0|-98%|2022-06-12 07:53:20
