|Driver|12 Hour|3 Hour|Latest|Sentiment|ts
0|Valtteri Bottas  BOT  Alfa Romeo|12|2|1|94%|2022-06-07 08:37:16
1|Lance Stroll  STR  Aston Martin|0|1|0|92%|2022-06-07 08:37:16
2|Pierre Gasly  GAS  AlphaTauri|0|0|0|80%|2022-06-07 08:37:16
3|Mick Schumacher  SCH  Haas|-5|-2|0|67%|2022-06-07 08:37:16
4|Guanyu Zhou  ZHO  Alfa Romeo|45|14|4|66%|2022-06-07 08:37:16
5|George Russell  RUS  Mercedes|24|3|0|61%|2022-06-07 08:37:16
6|Lando Norris  NOR  Mclaren|-1|0|0|39%|2022-06-07 08:37:16
7|Charles Leclerc  LEC  Ferrari|1|0|0|33%|2022-06-07 08:37:16
8|Kevin Magnussen  MAG  Haas|0|0|0|15%|2022-06-07 08:37:16
9|Max Verstappen  VER  Red Bull|0|0|0|2%|2022-06-07 08:37:16
10|Fernando Alonso  ALO  Alpine|-1|0|0|-1%|2022-06-07 08:37:16
11|Alex Albon  ALB  Williams|-4|-3|-1|-4%|2022-06-07 08:37:16
12|Esteban Ocon  OCO  Alpine|-5|-3|-1|-6%|2022-06-07 08:37:16
13|SAI  Carlos Sainz  Ferrari|1|0|0|-30%|2022-06-07 08:37:16
14|Nicholas Latifi  LAT  Williams|0|0|0|-31%|2022-06-07 08:37:16
15|Yuki Tsunoda  TSU  AlphaTauri|0|0|0|-51%|2022-06-07 08:37:16
16|Daniel Ricciardo  RIC  Mclaren|-5|-1|0|-59%|2022-06-07 08:37:16
17|Sergio Perez  PER  Red Bull|-23|-3|-1|-69%|2022-06-07 08:37:16
18|Lewis Hamilton  HAM  Mercedes|-1|0|0|-78%|2022-06-07 08:37:16
19|Sebastian Vettel  VET  Aston Martin|0|0|0|-79%|2022-06-07 08:37:16
