|Driver|12 Hour|3 Hour|Latest|Sentiment|ts
0|George Russell  RUS  Mercedes|-1|-1|0|78%|2022-06-10 23:21:30
1|Pierre Gasly  GAS  AlphaTauri|1|0|0|77%|2022-06-10 23:21:30
2|Sergio Perez  PER  Red Bull|20|1|0|55%|2022-06-10 23:21:30
3|Valtteri Bottas  BOT  Alfa Romeo|3|-1|0|41%|2022-06-10 23:21:30
4|Charles Leclerc  LEC  Ferrari|1|0|0|39%|2022-06-10 23:21:30
5|Mick Schumacher  SCH  Haas|-5|0|0|30%|2022-06-10 23:21:30
6|Fernando Alonso  ALO  Alpine|20|2|1|18%|2022-06-10 23:21:30
7|Lance Stroll  STR  Aston Martin|0|0|0|17%|2022-06-10 23:21:30
8|Kevin Magnussen  MAG  Haas|-3|0|0|17%|2022-06-10 23:21:30
9|Guanyu Zhou  ZHO  Alfa Romeo|-1|0|0|-1%|2022-06-10 23:21:30
10|Max Verstappen  VER  Red Bull|-3|0|0|-3%|2022-06-10 23:21:30
11|Daniel Ricciardo  RIC  Mclaren|-3|0|0|-7%|2022-06-10 23:21:30
12|SAI  Carlos Sainz  Ferrari|1|0|0|-20%|2022-06-10 23:21:30
13|Lando Norris  NOR  Mclaren|-11|-2|-1|-21%|2022-06-10 23:21:30
14|Nicholas Latifi  LAT  Williams|2|0|0|-22%|2022-06-10 23:21:30
15|Yuki Tsunoda  TSU  AlphaTauri|12|1|0|-35%|2022-06-10 23:21:30
16|Esteban Ocon  OCO  Alpine|-1|0|0|-57%|2022-06-10 23:21:30
17|Sebastian Vettel  VET  Aston Martin|1|1|0|-75%|2022-06-10 23:21:30
18|Lewis Hamilton  HAM  Mercedes|-2|0|0|-87%|2022-06-10 23:21:30
19|Alex Albon  ALB  Williams|-2|0|0|-97%|2022-06-10 23:21:30
