|Team|12 Hour|3 Hour|Latest|Sentiment|ts
0|Williams|50|15|3|90%|2022-06-12 14:18:30
1|Ferrari|38|27|7|38%|2022-06-12 14:18:30
2|Aston Martin|27|1|1|27%|2022-06-12 14:18:30
3|AlphaTauri|8|2|1|11%|2022-06-12 14:18:30
4|Alfa Romeo|-6|-2|-1|-26%|2022-06-12 14:18:30
5|Mercedes|2|2|1|-27%|2022-06-12 14:18:30
6|Red Bull|-41|-41|-21|-41%|2022-06-12 14:18:30
7|Alpine|4|1|0|-42%|2022-06-12 14:18:30
8|Mclaren|1|1|0|-45%|2022-06-12 14:18:30
9|Haas|-2|-1|0|-84%|2022-06-12 14:18:30
