|Driver|12 Hour|3 Hour|Latest|Sentiment|ts
0|George Russell  RUS  Mercedes|-9|-3|0|76%|2022-06-10 14:14:16
1|Pierre Gasly  GAS  AlphaTauri|-1|0|0|76%|2022-06-10 14:14:16
2|Sergio Perez  PER  Red Bull|17|5|1|40%|2022-06-10 14:14:16
3|Charles Leclerc  LEC  Ferrari|-1|0|0|38%|2022-06-10 14:14:16
4|Valtteri Bottas  BOT  Alfa Romeo|2|-2|-1|36%|2022-06-10 14:14:16
5|Mick Schumacher  SCH  Haas|-9|-2|-1|33%|2022-06-10 14:14:16
6|Kevin Magnussen  MAG  Haas|-3|-2|0|18%|2022-06-10 14:14:16
7|Lance Stroll  STR  Aston Martin|17|0|0|17%|2022-06-10 14:14:16
8|Fernando Alonso  ALO  Alpine|17|7|2|5%|2022-06-10 14:14:16
9|Max Verstappen  VER  Red Bull|0|0|0|0%|2022-06-10 14:14:16
10|Daniel Ricciardo  RIC  Mclaren|-5|-1|0|-5%|2022-06-10 14:14:16
11|Lando Norris  NOR  Mclaren|-14|-4|0|-14%|2022-06-10 14:14:16
12|SAI  Carlos Sainz  Ferrari|0|0|0|-21%|2022-06-10 14:14:16
13|Nicholas Latifi  LAT  Williams|3|0|0|-24%|2022-06-10 14:14:16
14|Yuki Tsunoda  TSU  AlphaTauri|12|5|1|-42%|2022-06-10 14:14:16
15|Esteban Ocon  OCO  Alpine|-7|-1|0|-57%|2022-06-10 14:14:16
16|Guanyu Zhou  ZHO  Alfa Romeo|-34|0|0|-64%|2022-06-10 14:14:16
17|Sebastian Vettel  VET  Aston Martin|0|0|0|-76%|2022-06-10 14:14:16
18|Lewis Hamilton  HAM  Mercedes|-3|-1|0|-86%|2022-06-10 14:14:16
19|Alex Albon  ALB  Williams|-15|-2|-1|-97%|2022-06-10 14:14:16
