|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Valtteri Bottas  BOT  Alfa Romeo|66|66|66|99%|$9.6m|$9.0m|1.73|2022-07-05 08:29:01
1|Nicholas Latifi  LAT  Williams|27|27|27|77%|$6.7m|$7.0m|1.18|2022-07-05 08:29:01
2|Charles Leclerc  LEC  Ferrari|78|78|78|48%|$18.8m|$18.0m|1.57|2022-07-05 08:29:01
3|Alex Albon  ALB  Williams|50|50|50|43%|$7.6m|$7.5m|0.97|2022-07-05 08:29:01
4|Lewis Hamilton  HAM  Mercedes|36|36|-57|36%|$30.1m|$31.0m|0.8|2022-07-05 08:29:01
5|Sergio Perez  PER  Red Bull|-47|-47|-47|32%|$18.4m|$17.5m|1.6|2022-07-05 08:29:01
6|Daniel Ricciardo  RIC  Mclaren|-20|-20|-20|18%|$13.5m|$14.5m|0.54|2022-07-05 08:29:01
7|Mick Schumacher  SCH  Haas|44|44|44|11%|$6.2m|$6.5m|0.61|2022-07-05 08:29:01
8|Max Verstappen  VER  Red Bull|2|2|2|10%|$30.4m|$30.5m|1.18|2022-07-05 08:29:01
9|Esteban Ocon  OCO  Alpine|-9|-9|-9|8%|$12.3m|$12.0m|1.15|2022-07-05 08:29:01
10|George Russell  RUS  Mercedes|7|7|-61|7%|$24.0m|$24.0m|1.15|2022-07-05 08:29:01
11|Fernando Alonso  ALO  Alpine|5|5|-92|5%|$12.5m|$12.5m|0.86|2022-07-05 08:29:01
12|Lance Stroll  STR  Aston Martin|-22|-22|-22|-3%|$9.1m|$9.5m|1.31|2022-07-05 08:29:01
13|Lando Norris  NOR  Mclaren|20|20|20|-21%|$15.7m|$16.0m|1.04|2022-07-05 08:29:01
14|Guanyu Zhou  ZHO  Alfa Romeo|20|20|20|-22%|$8.4m|$8.0m|0.48|2022-07-05 08:29:01
15|SAI  Carlos Sainz  Ferrari|-10|-10|-10|-41%|$17.2m|$17.0m|1.41|2022-07-05 08:29:01
16|Pierre Gasly  GAS  AlphaTauri|-41|-41|-25|-41%|$12.9m|$13.5m|0.7|2022-07-05 08:29:01
17|Kevin Magnussen  MAG  Haas|-17|-17|-17|-48%|$6.1m|$5.5m|1.2|2022-07-05 08:29:01
18|Sebastian Vettel  VET  Aston Martin|-54|-54|-54|-54%|$11.5m|$11.5m|1.01|2022-07-05 08:29:01
19|Yuki Tsunoda  TSU  AlphaTauri|-35|-35|-35|-54%|$8.3m|$8.5m|0.53|2022-07-05 08:29:01
