|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Lance Stroll  STR  Aston Martin|-21|-18|-3|70%|$9.2m|$9.5m|1.31|2022-07-23 09:09:27
1|George Russell  RUS  Mercedes|28|23|0|57%|$24.4m|$24.0m|1.16|2022-07-23 09:09:27
2|Nicholas Latifi  LAT  Williams|-9|-3|-1|53%|$6.7m|$7.0m|0.98|2022-07-23 09:09:27
3|Esteban Ocon  OCO  Alpine|14|8|1|46%|$12.3m|$12.0m|1.29|2022-07-23 09:09:27
4|Mick Schumacher  SCH  Haas|26|21|2|26%|$6.3m|$6.5m|0.92|2022-07-23 09:09:27
5|Alex Albon  ALB  Williams|72|73|10|20%|$7.5m|$7.5m|1.07|2022-07-23 09:09:27
6|Valtteri Bottas  BOT  Alfa Romeo|-10|-8|-1|-10%|$9.6m|$9.0m|1.69|2022-07-23 09:09:27
7|Max Verstappen  VER  Red Bull|0|1|1|-15%|$30.5m|$30.5m|1.23|2022-07-23 09:09:27
8|Guanyu Zhou  ZHO  Alfa Romeo|-14|-12|-2|-21%|$8.2m|$8.0m|0.52|2022-07-23 09:09:27
9|Lando Norris  NOR  Mclaren|22|15|2|-26%|$15.9m|$16.0m|1.1|2022-07-23 09:09:27
10|Fernando Alonso  ALO  Alpine|-11|-3|1|-32%|$12.6m|$12.5m|0.9|2022-07-23 09:09:27
11|Daniel Ricciardo  RIC  Mclaren|2|1|0|-41%|$13.5m|$14.5m|0.59|2022-07-23 09:09:27
12|Sebastian Vettel  VET  Aston Martin|-23|-18|-2|-51%|$11.4m|$11.5m|0.99|2022-07-23 09:09:27
13|Charles Leclerc  LEC  Ferrari|28|19|3|-55%|$18.8m|$18.0m|1.72|2022-07-23 09:09:27
14|Kevin Magnussen  MAG  Haas|-10|-11|-1|-57%|$6.1m|$5.5m|1.37|2022-07-23 09:09:27
15|SAI  Carlos Sainz  Ferrari|-12|-10|-1|-61%|$17.3m|$17.0m|1.32|2022-07-23 09:09:27
16|Sergio Perez  PER  Red Bull|-37|-24|-3|-65%|$18.3m|$17.5m|1.48|2022-07-23 09:09:27
17|Pierre Gasly  GAS  AlphaTauri|16|9|1|-70%|$12.9m|$13.5m|0.69|2022-07-23 09:09:27
18|Lewis Hamilton  HAM  Mercedes|1|0|0|-72%|$30.1m|$31.0m|0.85|2022-07-23 09:09:27
19|Yuki Tsunoda  TSU  AlphaTauri|5|7|1|-73%|$8.3m|$8.5m|0.51|2022-07-23 09:09:27
