|Driver|12 Hour|3 Hour|Latest|Sentiment|ts
0|Lewis Hamilton  HAM  Mercedes||||%|2022-06-10 08:12:21
1|George Russell  RUS  Mercedes||||%|2022-06-10 08:12:21
2|Charles Leclerc  LEC  Ferrari||||%|2022-06-10 08:12:21
3|SAI  Carlos Sainz  Ferrari||||%|2022-06-10 08:12:21
4|Max Verstappen  VER  Red Bull||||%|2022-06-10 08:12:21
5|Sergio Perez  PER  Red Bull||||%|2022-06-10 08:12:21
6|Daniel Ricciardo  RIC  Mclaren||||%|2022-06-10 08:12:21
7|Lando Norris  NOR  Mclaren||||%|2022-06-10 08:12:21
8|Sebastian Vettel  VET  Aston Martin||||%|2022-06-10 08:12:21
9|Lance Stroll  STR  Aston Martin||||%|2022-06-10 08:12:21
10|Fernando Alonso  ALO  Alpine||||%|2022-06-10 08:12:21
11|Esteban Ocon  OCO  Alpine||||%|2022-06-10 08:12:21
12|Pierre Gasly  GAS  AlphaTauri||||%|2022-06-10 08:12:21
13|Yuki Tsunoda  TSU  AlphaTauri||||%|2022-06-10 08:12:21
14|Alex Albon  ALB  Williams||||%|2022-06-10 08:12:21
15|Nicholas Latifi  LAT  Williams||||%|2022-06-10 08:12:21
16|Valtteri Bottas  BOT  Alfa Romeo||||%|2022-06-10 08:12:21
17|Guanyu Zhou  ZHO  Alfa Romeo||||%|2022-06-10 08:12:21
18|Mick Schumacher  SCH  Haas||||%|2022-06-10 08:12:21
19|Kevin Magnussen  MAG  Haas||||%|2022-06-10 08:12:21
