|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Daniel Ricciardo  RIC  Mclaren|0|0|0|74%|$14.2m|$14.5m|0.48|2022-08-28 09:39:09
1|Lance Stroll  STR  Aston Martin|0|0|0|74%|$9.1m|$9.5m|1.29|2022-08-28 09:39:09
2|Mick Schumacher  SCH  Haas|0|0|0|44%|$6.3m|$6.5m|1.01|2022-08-28 09:39:09
3|Sergio Perez  PER  Red Bull|0|0|0|41%|$17.9m|$17.5m|1.41|2022-08-28 09:39:09
4|George Russell  RUS  Mercedes|0|0|0|31%|$23.8m|$24.0m|1.13|2022-08-28 09:39:09
5|Fernando Alonso  ALO  Alpine|0|0|0|11%|$12.7m|$12.5m|0.94|2022-08-28 09:39:09
6|Guanyu Zhou  ZHO  Alfa Romeo|0|0|0|11%|$8.1m|$8.0m|0.54|2022-08-28 09:39:09
7|Lewis Hamilton  HAM  Mercedes|0|0|0|5%|$30.6m|$31.0m|0.88|2022-08-28 09:39:09
8|Esteban Ocon  OCO  Alpine|0|0|0|0%|$12.3m|$12.0m|1.2|2022-08-28 09:39:09
9|SAI  Carlos Sainz  Ferrari|0|0|0|-11%|$17.2m|$17.0m|1.35|2022-08-28 09:39:09
10|Alex Albon  ALB  Williams|0|0|0|-12%|$7.6m|$7.5m|1.07|2022-08-28 09:39:09
11|Nicholas Latifi  LAT  Williams|0|0|0|-14%|$6.9m|$7.0m|0.72|2022-08-28 09:39:09
12|Kevin Magnussen  MAG  Haas|0|0|0|-15%|$6.1m|$5.5m|1.03|2022-08-28 09:39:09
13|Sebastian Vettel  VET  Aston Martin|0|0|0|-31%|$11.8m|$11.5m|0.92|2022-08-28 09:39:09
14|Max Verstappen  VER  Red Bull|0|0|1|-37%|$30.4m|$30.5m|1.24|2022-08-28 09:39:09
15|Charles Leclerc  LEC  Ferrari|0|0|0|-51%|$18.7m|$18.0m|1.49|2022-08-28 09:39:09
16|Lando Norris  NOR  Mclaren|0|0|0|-61%|$15.9m|$16.0m|1.04|2022-08-28 09:39:09
17|Valtteri Bottas  BOT  Alfa Romeo|0|0|0|-65%|$9.5m|$9.0m|1.38|2022-08-28 09:39:09
18|Yuki Tsunoda  TSU  AlphaTauri|0|0|0|-81%|$8.4m|$8.5m|0.37|2022-08-28 09:39:09
19|Pierre Gasly  GAS  AlphaTauri|0|0|0|-82%|$13.0m|$13.5m|0.71|2022-08-28 09:39:09
