|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Nicholas Latifi  LAT  Williams|1|1|0|81%|$6.7m|$7.0m|1.11|2022-07-09 15:40:45
1|Charles Leclerc  LEC  Ferrari|0|0|0|78%|$18.8m|$18.0m|1.57|2022-07-09 15:40:45
2|Fernando Alonso  ALO  Alpine|1|0|0|53%|$12.5m|$12.5m|0.82|2022-07-09 15:40:45
3|Mick Schumacher  SCH  Haas|3|0|0|46%|$6.2m|$6.5m|0.67|2022-07-09 15:40:45
4|Max Verstappen  VER  Red Bull|0|0|0|27%|$30.4m|$30.5m|1.16|2022-07-09 15:40:45
5|Sergio Perez  PER  Red Bull|-1|0|0|26%|$18.4m|$17.5m|1.52|2022-07-09 15:40:45
6|Lewis Hamilton  HAM  Mercedes|0|0|0|18%|$30.1m|$31.0m|0.76|2022-07-09 15:40:45
7|Alex Albon  ALB  Williams|0|0|0|15%|$7.6m|$7.5m|0.91|2022-07-09 15:40:45
8|Lance Stroll  STR  Aston Martin|0|0|0|11%|$9.1m|$9.5m|1.29|2022-07-09 15:40:45
9|George Russell  RUS  Mercedes|-1|0|0|-1%|$24.0m|$24.0m|1.13|2022-07-09 15:40:45
10|Daniel Ricciardo  RIC  Mclaren|-1|0|0|-9%|$13.5m|$14.5m|0.53|2022-07-09 15:40:45
11|Esteban Ocon  OCO  Alpine|1|0|0|-12%|$12.3m|$12.0m|1.18|2022-07-09 15:40:45
12|Kevin Magnussen  MAG  Haas|0|0|0|-32%|$6.1m|$5.5m|1.33|2022-07-09 15:40:45
13|Guanyu Zhou  ZHO  Alfa Romeo|0|0|0|-35%|$8.4m|$8.0m|0.5|2022-07-09 15:40:45
14|SAI  Carlos Sainz  Ferrari|0|0|0|-42%|$17.2m|$17.0m|1.38|2022-07-09 15:40:45
15|Yuki Tsunoda  TSU  AlphaTauri|-1|-1|0|-44%|$8.3m|$8.5m|0.48|2022-07-09 15:40:45
16|Valtteri Bottas  BOT  Alfa Romeo|-1|0|0|-55%|$9.7m|$9.0m|1.65|2022-07-09 15:40:45
17|Pierre Gasly  GAS  AlphaTauri|-1|0|0|-72%|$12.9m|$13.5m|0.66|2022-07-09 15:40:45
18|Lando Norris  NOR  Mclaren|-1|0|0|-77%|$15.7m|$16.0m|1.01|2022-07-09 15:40:45
19|Sebastian Vettel  VET  Aston Martin|-1|0|0|-84%|$11.5m|$11.5m|0.94|2022-07-09 15:40:45
