|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Charles Leclerc  LEC  Ferrari|8|2|0|87%|$18.8m|$18.0m|1.72|2022-07-10 18:39:38
1|Mick Schumacher  SCH  Haas|31|5|0|78%|$6.2m|$6.5m|0.94|2022-07-10 18:39:38
2|Nicholas Latifi  LAT  Williams|-6|-2|0|75%|$6.7m|$7.0m|0.98|2022-07-10 18:39:38
3|Fernando Alonso  ALO  Alpine|0|1|0|53%|$12.5m|$12.5m|0.91|2022-07-10 18:39:38
4|Max Verstappen  VER  Red Bull|2|0|0|29%|$30.4m|$30.5m|1.23|2022-07-10 18:39:38
5|Lewis Hamilton  HAM  Mercedes|0|0|0|18%|$30.1m|$31.0m|0.85|2022-07-10 18:39:38
6|Lance Stroll  STR  Aston Martin|7|8|4|18%|$9.1m|$9.5m|1.33|2022-07-10 18:39:38
7|Sergio Perez  PER  Red Bull|-15|-5|-2|11%|$18.4m|$17.5m|1.47|2022-07-10 18:39:38
8|Alex Albon  ALB  Williams|-5|-2|-1|9%|$7.6m|$7.5m|1.05|2022-07-10 18:39:38
9|Esteban Ocon  OCO  Alpine|13|2|0|1%|$12.3m|$12.0m|1.29|2022-07-10 18:39:38
10|George Russell  RUS  Mercedes|-4|-1|0|-6%|$24.0m|$24.0m|1.18|2022-07-10 18:39:38
11|Daniel Ricciardo  RIC  Mclaren|-2|-1|0|-11%|$13.5m|$14.5m|0.59|2022-07-10 18:39:38
12|Kevin Magnussen  MAG  Haas|0|0|0|-32%|$6.1m|$5.5m|1.37|2022-07-10 18:39:38
13|SAI  Carlos Sainz  Ferrari|2|2|1|-40%|$17.2m|$17.0m|1.33|2022-07-10 18:39:38
14|Guanyu Zhou  ZHO  Alfa Romeo|-5|-2|-1|-40%|$8.4m|$8.0m|0.51|2022-07-10 18:39:38
15|Yuki Tsunoda  TSU  AlphaTauri|-5|-1|0|-49%|$8.3m|$8.5m|0.51|2022-07-10 18:39:38
16|Valtteri Bottas  BOT  Alfa Romeo|-11|-4|-1|-66%|$9.7m|$9.0m|1.67|2022-07-10 18:39:38
17|Lando Norris  NOR  Mclaren|2|3|2|-75%|$15.7m|$16.0m|1.12|2022-07-10 18:39:38
18|Pierre Gasly  GAS  AlphaTauri|-6|-2|-1|-78%|$12.9m|$13.5m|0.69|2022-07-10 18:39:38
19|Sebastian Vettel  VET  Aston Martin|-8|-2|-1|-92%|$11.5m|$11.5m|0.98|2022-07-10 18:39:38
