|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Mick Schumacher  SCH  Haas|0|0|0|97%|$m|$m||2022-08-08 09:01:07
1|Alex Albon  ALB  Williams|0|0|0|89%|$m|$m||2022-08-08 09:01:07
2|Pierre Gasly  GAS  AlphaTauri|42|24|7|75%|$m|$m||2022-08-08 09:01:07
3|Esteban Ocon  OCO  Alpine|-6|-4|-1|74%|$m|$m||2022-08-08 09:01:07
4|Yuki Tsunoda  TSU  AlphaTauri|27|19|5|74%|$m|$m||2022-08-08 09:01:07
5|Nicholas Latifi  LAT  Williams|0|0|0|46%|$m|$m||2022-08-08 09:01:07
6|Lewis Hamilton  HAM  Mercedes|1|1|0|1%|$m|$m||2022-08-08 09:01:07
7|Sebastian Vettel  VET  Aston Martin|-1|0|0|0%|$m|$m||2022-08-08 09:01:07
8|Daniel Ricciardo  RIC  Mclaren|-5|-5|-5|-5%|$m|$m||2022-08-08 09:01:07
9|Kevin Magnussen  MAG  Haas|3|1|0|-6%|$m|$m||2022-08-08 09:01:07
10|SAI  Carlos Sainz  Ferrari|-4|-2|-1|-19%|$m|$m||2022-08-08 09:01:07
11|George Russell  RUS  Mercedes|-3|-1|0|-24%|$m|$m||2022-08-08 09:01:07
12|Fernando Alonso  ALO  Alpine|-5|-3|-1|-26%|$m|$m||2022-08-08 09:01:07
13|Charles Leclerc  LEC  Ferrari|-11|-6|-2|-31%|$m|$m||2022-08-08 09:01:07
14|Lance Stroll  STR  Aston Martin|-39|-31|-10|-35%|$m|$m||2022-08-08 09:01:07
15|Max Verstappen  VER  Red Bull|-1|0|0|-47%|$m|$m||2022-08-08 09:01:07
16|Lando Norris  NOR  Mclaren|-8|-4|-1|-54%|$m|$m||2022-08-08 09:01:07
17|Sergio Perez  PER  Red Bull|-11|-6|-2|-56%|$m|$m||2022-08-08 09:01:07
18|Valtteri Bottas  BOT  Alfa Romeo|-3|-1|-1|-74%|$m|$m||2022-08-08 09:01:07
19|Guanyu Zhou  ZHO  Alfa Romeo|-8|-4|-1|-89%|$m|$m||2022-08-08 09:01:07
