|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Esteban Ocon  OCO  Alpine|5|2|1|97%|$12.3m|$12.0m|1.29|2022-07-26 08:10:19
1|Nicholas Latifi  LAT  Williams|3|1|0|81%|$6.7m|$7.0m|0.78|2022-07-26 08:10:19
2|Lance Stroll  STR  Aston Martin|1|0|0|67%|$9.2m|$9.5m|1.35|2022-07-26 08:10:19
3|Alex Albon  ALB  Williams|28|14|2|48%|$7.6m|$7.5m|1.1|2022-07-26 08:10:19
4|Mick Schumacher  SCH  Haas|1|0|0|48%|$6.3m|$6.5m|1.02|2022-07-26 08:10:19
5|Lando Norris  NOR  Mclaren|10|0|0|13%|$15.9m|$16.0m|1.1|2022-07-26 08:10:19
6|Valtteri Bottas  BOT  Alfa Romeo|4|0|0|7%|$9.6m|$9.0m|1.6|2022-07-26 08:10:19
7|Fernando Alonso  ALO  Alpine|6|1|0|-12%|$12.6m|$12.5m|0.98|2022-07-26 08:10:19
8|George Russell  RUS  Mercedes|-24|-12|-1|-26%|$24.3m|$24.0m|1.17|2022-07-26 08:10:19
9|Daniel Ricciardo  RIC  Mclaren|0|0|0|-31%|$13.5m|$14.5m|0.6|2022-07-26 08:10:19
10|Guanyu Zhou  ZHO  Alfa Romeo|1|0|0|-31%|$8.2m|$8.0m|0.54|2022-07-26 08:10:19
11|Kevin Magnussen  MAG  Haas|2|1|0|-36%|$6.1m|$5.5m|1.2|2022-07-26 08:10:19
12|Sebastian Vettel  VET  Aston Martin|4|2|1|-39%|$11.4m|$11.5m|0.99|2022-07-26 08:10:19
13|Charles Leclerc  LEC  Ferrari|2|0|0|-46%|$18.8m|$18.0m|1.6|2022-07-26 08:10:19
14|Yuki Tsunoda  TSU  AlphaTauri|0|0|0|-73%|$8.3m|$8.5m|0.45|2022-07-26 08:10:19
15|Pierre Gasly  GAS  AlphaTauri|-1|-1|0|-74%|$12.9m|$13.5m|0.72|2022-07-26 08:10:19
16|Lewis Hamilton  HAM  Mercedes|0|0|0|-88%|$30.1m|$31.0m|0.88|2022-07-26 08:10:19
17|SAI  Carlos Sainz  Ferrari|-10|0|0|-96%|$17.3m|$17.0m|1.37|2022-07-26 08:10:19
18|Sergio Perez  PER  Red Bull|2|-1|0|-96%|$18.3m|$17.5m|1.46|2022-07-26 08:10:19
19|Max Verstappen  VER  Red Bull|-15|-7|0|-98%|$30.5m|$30.5m|1.25|2022-07-26 08:10:19
