|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|George Russell  RUS  Mercedes|3|1|1|74%|$23.7m|$24.0m|1.31|2022-06-13 22:42:39
1|Pierre Gasly  GAS  AlphaTauri|0|0|0|70%|$12.9m|$13.5m|0.82|2022-06-13 22:42:39
2|Fernando Alonso  ALO  Alpine|2|0|0|67%|$12.2m|$12.5m|0.65|2022-06-13 22:42:39
3|Valtteri Bottas  BOT  Alfa Romeo|-3|0|0|63%|$9.6m|$9.0m|2.01|2022-06-13 22:42:39
4|Guanyu Zhou  ZHO  Alfa Romeo|5|0|0|62%|$8.4m|$8.0m|0.42|2022-06-13 22:42:39
5|Mick Schumacher  SCH  Haas|1|0|0|15%|$6.2m|$6.5m|0.42|2022-06-13 22:42:39
6|Charles Leclerc  LEC  Ferrari|-8|0|0|12%|$19.0m|$18.0m|1.65|2022-06-13 22:42:39
7|Daniel Ricciardo  RIC  Mclaren|5|0|0|10%|$13.5m|$14.5m|0.56|2022-06-13 22:42:39
8|Nicholas Latifi  LAT  Williams|8|0|0|8%|$6.6m|$7.0m|1.23|2022-06-13 22:42:39
9|Yuki Tsunoda  TSU  AlphaTauri|3|0|0|6%|$8.3m|$8.5m|0.74|2022-06-13 22:42:39
10|Kevin Magnussen  MAG  Haas|-2|-1|0|6%|$6.1m|$5.5m|1.09|2022-06-13 22:42:39
11|Sergio Perez  PER  Red Bull|1|0|0|1%|$18.3m|$17.5m|1.82|2022-06-13 22:42:39
12|Max Verstappen  VER  Red Bull|1|0|0|-17%|$30.5m|$30.5m|1.23|2022-06-13 22:42:39
13|Esteban Ocon  OCO  Alpine|1|0|0|-21%|$12.4m|$12.0m|1.29|2022-06-13 22:42:39
14|Lando Norris  NOR  Mclaren|0|0|0|-32%|$15.8m|$16.0m|1.12|2022-06-13 22:42:39
15|SAI  Carlos Sainz  Ferrari|-3|0|0|-38%|$17.2m|$17.0m|1.1|2022-06-13 22:42:39
16|Sebastian Vettel  VET  Aston Martin|4|0|0|-45%|$11.4m|$11.5m|0.91|2022-06-13 22:42:39
17|Lance Stroll  STR  Aston Martin|6|0|0|-57%|$9.0m|$9.5m|1.26|2022-06-13 22:42:39
18|Alex Albon  ALB  Williams|1|0|0|-94%|$7.8m|$7.5m|1.23|2022-06-13 22:42:39
19|Lewis Hamilton  HAM  Mercedes|0|0|0|-98%|$30.1m|$31.0m|0.64|2022-06-13 22:42:39
