|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Fernando Alonso  ALO  Alpine|0|0|1|97%|$12.4m|$12.5m|0.86|2022-07-03 15:14:32
1|Lewis Hamilton  HAM  Mercedes|0|0|1|93%|$30.0m|$31.0m|0.81|2022-07-03 15:14:32
2|Sergio Perez  PER  Red Bull|0|0|-3|79%|$18.4m|$17.5m|1.6|2022-07-03 15:14:32
3|George Russell  RUS  Mercedes|0|0|2|68%|$23.8m|$24.0m|1.16|2022-07-03 15:14:32
4|Nicholas Latifi  LAT  Williams|0|0|0|50%|$6.7m|$7.0m|1.18|2022-07-03 15:14:32
5|Daniel Ricciardo  RIC  Mclaren|0|0|0|38%|$13.5m|$14.5m|0.54|2022-07-03 15:14:32
6|Valtteri Bottas  BOT  Alfa Romeo|0|0|1|33%|$9.6m|$9.0m|1.73|2022-07-03 15:14:32
7|Lance Stroll  STR  Aston Martin|0|0|0|19%|$9.1m|$9.5m|1.31|2022-07-03 15:14:32
8|Esteban Ocon  OCO  Alpine|0|0|0|17%|$12.3m|$12.0m|1.15|2022-07-03 15:14:32
9|Max Verstappen  VER  Red Bull|0|0|-1|8%|$30.4m|$30.5m|1.18|2022-07-03 15:14:32
10|Sebastian Vettel  VET  Aston Martin|0|0|-2|0%|$11.6m|$11.5m|1.0|2022-07-03 15:14:32
11|Alex Albon  ALB  Williams|0|0|2|-7%|$7.6m|$7.5m|0.97|2022-07-03 15:14:32
12|Pierre Gasly  GAS  AlphaTauri|0|0|-2|-16%|$13.0m|$13.5m|0.69|2022-07-03 15:14:32
13|Yuki Tsunoda  TSU  AlphaTauri|0|0|-1|-19%|$8.3m|$8.5m|0.53|2022-07-03 15:14:32
14|Charles Leclerc  LEC  Ferrari|0|0|2|-30%|$18.8m|$18.0m|1.57|2022-07-03 15:14:32
15|SAI  Carlos Sainz  Ferrari|0|0|0|-31%|$17.2m|$17.0m|1.41|2022-07-03 15:14:32
16|Kevin Magnussen  MAG  Haas|0|0|0|-31%|$6.1m|$5.5m|1.2|2022-07-03 15:14:32
17|Mick Schumacher  SCH  Haas|0|0|0|-33%|$6.2m|$6.5m|0.61|2022-07-03 15:14:32
18|Lando Norris  NOR  Mclaren|0|0|1|-41%|$15.7m|$16.0m|1.04|2022-07-03 15:14:32
19|Guanyu Zhou  ZHO  Alfa Romeo|0|0|0|-42%|$8.4m|$8.0m|0.48|2022-07-03 15:14:32
