|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Esteban Ocon  OCO  Alpine|6|2|1|98%|$12.3m|$12.0m|1.29|2022-07-26 10:44:03
1|Nicholas Latifi  LAT  Williams|6|3|2|84%|$6.7m|$7.0m|0.78|2022-07-26 10:44:03
2|Lance Stroll  STR  Aston Martin|2|1|1|68%|$9.2m|$9.5m|1.35|2022-07-26 10:44:03
3|Alex Albon  ALB  Williams|33|11|5|57%|$7.6m|$7.5m|1.1|2022-07-26 10:44:03
4|Mick Schumacher  SCH  Haas|1|0|0|48%|$6.3m|$6.5m|1.02|2022-07-26 10:44:03
5|Lando Norris  NOR  Mclaren|7|1|0|14%|$15.9m|$16.0m|1.1|2022-07-26 10:44:03
6|Valtteri Bottas  BOT  Alfa Romeo|4|1|0|8%|$9.6m|$9.0m|1.6|2022-07-26 10:44:03
7|Sergio Perez  PER  Red Bull|0|0|96|0%|$18.2m|$17.5m|1.47|2022-07-26 10:44:03
8|Max Verstappen  VER  Red Bull|-2|-2|-1|-2%|$30.4m|$30.5m|1.25|2022-07-26 10:44:03
9|Fernando Alonso  ALO  Alpine|5|1|1|-11%|$12.6m|$12.5m|0.98|2022-07-26 10:44:03
10|Daniel Ricciardo  RIC  Mclaren|0|0|0|-31%|$13.5m|$14.5m|0.6|2022-07-26 10:44:03
11|Guanyu Zhou  ZHO  Alfa Romeo|0|0|0|-31%|$8.2m|$8.0m|0.54|2022-07-26 10:44:03
12|Kevin Magnussen  MAG  Haas|2|0|0|-36%|$6.1m|$5.5m|1.2|2022-07-26 10:44:03
13|Sebastian Vettel  VET  Aston Martin|4|2|1|-38%|$11.4m|$11.5m|0.99|2022-07-26 10:44:03
14|George Russell  RUS  Mercedes|-34|-15|-10|-40%|$24.3m|$24.0m|1.17|2022-07-26 10:44:03
15|Charles Leclerc  LEC  Ferrari|2|1|1|-45%|$18.8m|$18.0m|1.6|2022-07-26 10:44:03
16|Yuki Tsunoda  TSU  AlphaTauri|0|0|0|-73%|$8.3m|$8.5m|0.45|2022-07-26 10:44:03
17|Pierre Gasly  GAS  AlphaTauri|-1|0|0|-74%|$12.9m|$13.5m|0.72|2022-07-26 10:44:03
18|Lewis Hamilton  HAM  Mercedes|-1|-1|-1|-89%|$30.1m|$31.0m|0.88|2022-07-26 10:44:03
19|SAI  Carlos Sainz  Ferrari|-6|0|0|-96%|$17.3m|$17.0m|1.37|2022-07-26 10:44:03
