|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Lance Stroll  STR  Aston Martin|0|0|0|94%|$9.2m|$9.5m|1.31|2022-07-22 07:21:19
1|Mick Schumacher  SCH  Haas|-6|3|1|85%|$6.2m|$6.5m|0.94|2022-07-22 07:21:19
2|Nicholas Latifi  LAT  Williams|-2|-1|-1|69%|$6.7m|$7.0m|0.98|2022-07-22 07:21:19
3|Esteban Ocon  OCO  Alpine|8|2|1|25%|$12.3m|$12.0m|1.29|2022-07-22 07:21:19
4|George Russell  RUS  Mercedes|5|0|0|18%|$24.4m|$24.0m|1.16|2022-07-22 07:21:19
5|Guanyu Zhou  ZHO  Alfa Romeo|-1|0|0|-3%|$8.2m|$8.0m|0.52|2022-07-22 07:21:19
6|Sergio Perez  PER  Red Bull|-2|0|0|-10%|$18.3m|$17.5m|1.48|2022-07-22 07:21:19
7|Fernando Alonso  ALO  Alpine|0|0|0|-11%|$12.6m|$12.5m|0.9|2022-07-22 07:21:19
8|Max Verstappen  VER  Red Bull|-2|0|0|-16%|$30.5m|$30.5m|1.23|2022-07-22 07:21:19
9|Sebastian Vettel  VET  Aston Martin|5|0|0|-20%|$11.4m|$11.5m|0.99|2022-07-22 07:21:19
10|Daniel Ricciardo  RIC  Mclaren|-1|-1|0|-44%|$13.5m|$14.5m|0.59|2022-07-22 07:21:19
11|SAI  Carlos Sainz  Ferrari|-1|-1|0|-47%|$17.3m|$17.0m|1.32|2022-07-22 07:21:19
12|Kevin Magnussen  MAG  Haas|0|0|0|-49%|$6.1m|$5.5m|1.37|2022-07-22 07:21:19
13|Alex Albon  ALB  Williams|1|-1|0|-51%|$7.5m|$7.5m|1.07|2022-07-22 07:21:19
14|Lando Norris  NOR  Mclaren|-1|0|0|-57%|$15.9m|$16.0m|1.1|2022-07-22 07:21:19
15|Lewis Hamilton  HAM  Mercedes|0|0|0|-73%|$30.1m|$31.0m|0.85|2022-07-22 07:21:19
16|Yuki Tsunoda  TSU  AlphaTauri|-1|0|0|-74%|$8.3m|$8.5m|0.51|2022-07-22 07:21:19
17|Valtteri Bottas  BOT  Alfa Romeo|0|-1|0|-90%|$9.7m|$9.0m|1.67|2022-07-22 07:21:19
18|Charles Leclerc  LEC  Ferrari|2|1|0|-94%|$18.8m|$18.0m|1.72|2022-07-22 07:21:19
19|Pierre Gasly  GAS  AlphaTauri|-1|0|0|-95%|$12.9m|$13.5m|0.69|2022-07-22 07:21:19
