|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Sergio Perez  PER  Red Bull|12|10|0|67%|$18.5m|$17.5m|1.44|2022-09-22 12:41:46
1|SAI  Carlos Sainz  Ferrari|7|6|0|43%|$17.6m|$17.0m|1.36|2022-09-22 12:41:46
2|George Russell  RUS  Mercedes|4|4|0|34%|$24.0m|$24.0m|1.26|2022-09-22 12:41:46
3|Charles Leclerc  LEC  Ferrari|14|12|0|34%|$19.5m|$18.0m|1.48|2022-09-22 12:41:46
4|Max Verstappen  VER  Red Bull|10|9|0|26%|$31.0m|$30.5m|1.33|2022-09-22 12:41:46
5|Esteban Ocon  OCO  Alpine|0|0|0|0%|$12.3m|$12.0m|1.18|2022-09-22 12:41:46
6|Alex Albon  ALB  Williams|0|0|0|0%|$7.7m|$7.5m|1.21|2022-09-22 12:41:46
7|Guanyu Zhou  ZHO  Alfa Romeo|-4|-4|0|-4%|$7.5m|$8.0m|0.68|2022-09-22 12:41:46
8|Yuki Tsunoda  TSU  AlphaTauri|-16|-16|-1|-16%|$7.4m|$8.5m|0.43|2022-09-22 12:41:46
9|Valtteri Bottas  BOT  Alfa Romeo|-2|-1|0|-22%|$9.4m|$9.0m|1.12|2022-09-22 12:41:46
10|Sebastian Vettel  VET  Aston Martin|-7|-6|0|-25%|$11.4m|$11.5m|0.96|2022-09-22 12:41:46
11|Kevin Magnussen  MAG  Haas|-1|-1|0|-27%|$6.1m|$5.5m|1.17|2022-09-22 12:41:46
12|Daniel Ricciardo  RIC  Mclaren|-29|-29|0|-29%|$11.8m|$14.5m|0.46|2022-09-22 12:41:46
13|Nicholas Latifi  LAT  Williams|-8|-6|0|-41%|$6.5m|$7.0m|0.76|2022-09-22 12:41:46
14|Lewis Hamilton  HAM  Mercedes|-39|-33|-1|-48%|$28.4m|$31.0m|0.91|2022-09-22 12:41:46
15|Fernando Alonso  ALO  Alpine|-5|-4|0|-49%|$12.5m|$12.5m|1.07|2022-09-22 12:41:46
16|Lando Norris  NOR  Mclaren|-4|-3|0|-52%|$15.7m|$16.0m|1.09|2022-09-22 12:41:46
17|Lance Stroll  STR  Aston Martin|-1|-1|0|-67%|$9.1m|$9.5m|1.15|2022-09-22 12:41:46
18|Mick Schumacher  SCH  Haas|-1|-1|0|-69%|$6.3m|$6.5m|1.12|2022-09-22 12:41:46
19|Pierre Gasly  GAS  AlphaTauri|-12|-11|0|-94%|$12.4m|$13.5m|0.83|2022-09-22 12:41:46
