|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Esteban Ocon  OCO  Alpine|0|0|0|53%|$12.3m|$12.0m|1.26|2022-07-31 10:27:56
1|Alex Albon  ALB  Williams|0|0|0|48%|$7.6m|$7.5m|1.04|2022-07-31 10:27:56
2|Nicholas Latifi  LAT  Williams|0|0|0|40%|$6.7m|$7.0m|0.73|2022-07-31 10:27:56
3|Mick Schumacher  SCH  Haas|1|1|1|30%|$6.3m|$6.5m|0.96|2022-07-31 10:27:56
4|Lance Stroll  STR  Aston Martin|0|0|0|25%|$9.2m|$9.5m|1.28|2022-07-31 10:27:56
5|Charles Leclerc  LEC  Ferrari|0|0|0|13%|$18.8m|$18.0m|1.52|2022-07-31 10:27:56
6|Daniel Ricciardo  RIC  Mclaren|0|0|0|12%|$14.1m|$14.5m|0.56|2022-07-31 10:27:56
7|SAI  Carlos Sainz  Ferrari|0|0|0|11%|$17.2m|$17.0m|1.33|2022-07-31 10:27:56
8|Lando Norris  NOR  Mclaren|1|0|0|8%|$15.9m|$16.0m|1.07|2022-07-31 10:27:56
9|Sebastian Vettel  VET  Aston Martin|0|0|0|-7%|$11.4m|$11.5m|0.92|2022-07-31 10:27:56
10|Max Verstappen  VER  Red Bull|0|0|0|-15%|$30.4m|$30.5m|1.17|2022-07-31 10:27:56
11|Fernando Alonso  ALO  Alpine|0|0|0|-15%|$12.6m|$12.5m|0.95|2022-07-31 10:27:56
12|Kevin Magnussen  MAG  Haas|0|0|0|-18%|$6.1m|$5.5m|1.16|2022-07-31 10:27:56
13|Valtteri Bottas  BOT  Alfa Romeo|0|0|0|-24%|$9.6m|$9.0m|1.54|2022-07-31 10:27:56
14|Sergio Perez  PER  Red Bull|0|0|0|-41%|$18.2m|$17.5m|1.36|2022-07-31 10:27:56
15|George Russell  RUS  Mercedes|1|1|1|-65%|$24.0m|$24.0m|1.14|2022-07-31 10:27:56
16|Lewis Hamilton  HAM  Mercedes|0|0|0|-67%|$30.1m|$31.0m|0.83|2022-07-31 10:27:56
17|Guanyu Zhou  ZHO  Alfa Romeo|0|0|0|-74%|$8.2m|$8.0m|0.52|2022-07-31 10:27:56
18|Yuki Tsunoda  TSU  AlphaTauri|0|0|0|-77%|$8.3m|$8.5m|0.44|2022-07-31 10:27:56
19|Pierre Gasly  GAS  AlphaTauri|0|0|0|-85%|$12.9m|$13.5m|0.67|2022-07-31 10:27:56
