|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Esteban Ocon  OCO  Alpine|-4|0|0|56%|$12.3m|$12.0m|1.29|2022-07-29 22:34:47
1|Alex Albon  ALB  Williams|-7|-1|0|54%|$7.6m|$7.5m|1.1|2022-07-29 22:34:47
2|Mick Schumacher  SCH  Haas|6|3|1|42%|$6.3m|$6.5m|1.02|2022-07-29 22:34:47
3|Daniel Ricciardo  RIC  Mclaren|35|26|3|35%|$14.0m|$14.5m|0.58|2022-07-29 22:34:47
4|Nicholas Latifi  LAT  Williams|-4|-1|0|32%|$6.7m|$7.0m|0.78|2022-07-29 22:34:47
5|Sergio Perez  PER  Red Bull|-9|-1|0|24%|$18.2m|$17.5m|1.47|2022-07-29 22:34:47
6|Lance Stroll  STR  Aston Martin|-1|0|0|23%|$9.2m|$9.5m|1.35|2022-07-29 22:34:47
7|Valtteri Bottas  BOT  Alfa Romeo|-5|-1|0|9%|$9.6m|$9.0m|1.6|2022-07-29 22:34:47
8|Charles Leclerc  LEC  Ferrari|0|0|0|5%|$18.8m|$18.0m|1.6|2022-07-29 22:34:47
9|SAI  Carlos Sainz  Ferrari|-4|-2|0|-4%|$17.2m|$17.0m|1.38|2022-07-29 22:34:47
10|Kevin Magnussen  MAG  Haas|0|0|0|-18%|$6.1m|$5.5m|1.2|2022-07-29 22:34:47
11|Sebastian Vettel  VET  Aston Martin|7|1|0|-24%|$11.4m|$11.5m|0.99|2022-07-29 22:34:47
12|Max Verstappen  VER  Red Bull|-2|-1|0|-25%|$30.4m|$30.5m|1.25|2022-07-29 22:34:47
13|Fernando Alonso  ALO  Alpine|0|0|0|-34%|$12.6m|$12.5m|0.98|2022-07-29 22:34:47
14|Lando Norris  NOR  Mclaren|4|-2|0|-50%|$15.9m|$16.0m|1.1|2022-07-29 22:34:47
15|Guanyu Zhou  ZHO  Alfa Romeo|-2|0|0|-58%|$8.2m|$8.0m|0.54|2022-07-29 22:34:47
16|Yuki Tsunoda  TSU  AlphaTauri|-4|-1|0|-59%|$8.3m|$8.5m|0.45|2022-07-29 22:34:47
17|Lewis Hamilton  HAM  Mercedes|-2|-1|0|-63%|$30.1m|$31.0m|0.88|2022-07-29 22:34:47
18|Pierre Gasly  GAS  AlphaTauri|-8|-1|0|-64%|$12.9m|$13.5m|0.72|2022-07-29 22:34:47
19|George Russell  RUS  Mercedes|-55|-14|-1|-83%|$24.1m|$24.0m|1.18|2022-07-29 22:34:47
