|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|George Russell  RUS  Mercedes|5|4|0|93%|$24.1m|$24.0m|1.26|2022-09-28 08:49:30
1|Max Verstappen  VER  Red Bull|12|9|1|49%|$31.4m|$30.5m|1.31|2022-09-28 08:49:30
2|SAI  Carlos Sainz  Ferrari|9|7|0|43%|$17.9m|$17.0m|1.34|2022-09-28 08:49:30
3|Sergio Perez  PER  Red Bull|12|9|0|17%|$19.0m|$17.5m|1.4|2022-09-28 08:49:30
4|Charles Leclerc  LEC  Ferrari|10|10|0|10%|$20.1m|$18.0m|1.43|2022-09-28 08:49:30
5|Esteban Ocon  OCO  Alpine|0|0|0|0%|$12.3m|$12.0m|1.18|2022-09-28 08:49:30
6|Alex Albon  ALB  Williams|0|0|0|0%|$7.7m|$7.5m|1.21|2022-09-28 08:49:30
7|Valtteri Bottas  BOT  Alfa Romeo|-3|-2|-1|-7%|$9.3m|$9.0m|1.13|2022-09-28 08:49:30
8|Guanyu Zhou  ZHO  Alfa Romeo|-11|-8|0|-11%|$7.1m|$8.0m|0.72|2022-09-28 08:49:30
9|Sebastian Vettel  VET  Aston Martin|-8|-6|0|-13%|$11.1m|$11.5m|0.99|2022-09-28 08:49:30
10|Lance Stroll  STR  Aston Martin|-1|-1|0|-13%|$9.0m|$9.5m|1.16|2022-09-28 08:49:30
11|Fernando Alonso  ALO  Alpine|-4|-3|0|-17%|$12.3m|$12.5m|1.09|2022-09-28 08:49:30
12|Mick Schumacher  SCH  Haas|-2|-1|0|-17%|$6.2m|$6.5m|1.14|2022-09-28 08:49:30
13|Yuki Tsunoda  TSU  AlphaTauri|-20|-19|-1|-20%|$6.5m|$8.5m|0.49|2022-09-28 08:49:30
14|Lando Norris  NOR  Mclaren|-4|-3|0|-23%|$15.5m|$16.0m|1.11|2022-09-28 08:49:30
15|Nicholas Latifi  LAT  Williams|-8|-6|0|-39%|$6.2m|$7.0m|0.8|2022-09-28 08:49:30
16|Kevin Magnussen  MAG  Haas|-1|-1|0|-47%|$6.1m|$5.5m|1.17|2022-09-28 08:49:30
17|Daniel Ricciardo  RIC  Mclaren|-41|-31|-1|-61%|$10.3m|$14.5m|0.52|2022-09-28 08:49:30
18|Pierre Gasly  GAS  AlphaTauri|-13|-10|0|-61%|$11.9m|$13.5m|0.87|2022-09-28 08:49:30
19|Lewis Hamilton  HAM  Mercedes|-38|-29|-2|-88%|$27.0m|$31.0m|0.96|2022-09-28 08:49:30
