|Driver|12 Hour|3 Hour|Latest|Sentiment|ts
0|George Russell  RUS  Mercedes|-7|-5|-1|78%|2022-06-10 12:06:59
1|Pierre Gasly  GAS  AlphaTauri|-1|0|0|76%|2022-06-10 12:06:59
2|Charles Leclerc  LEC  Ferrari|-1|0|0|38%|2022-06-10 12:06:59
3|Sergio Perez  PER  Red Bull|15|8|2|37%|2022-06-10 12:06:59
4|Valtteri Bottas  BOT  Alfa Romeo|4|0|-1|37%|2022-06-10 12:06:59
5|Mick Schumacher  SCH  Haas|-9|-4|-1|34%|2022-06-10 12:06:59
6|Kevin Magnussen  MAG  Haas|-2|-2|-1|19%|2022-06-10 12:06:59
7|Lance Stroll  STR  Aston Martin|17|17|0|17%|2022-06-10 12:06:59
8|Max Verstappen  VER  Red Bull|0|0|0|0%|2022-06-10 12:06:59
9|Fernando Alonso  ALO  Alpine|12|11|2|0%|2022-06-10 12:06:59
10|Daniel Ricciardo  RIC  Mclaren|-4|-2|0|-4%|2022-06-10 12:06:59
11|Lando Norris  NOR  Mclaren|-11|-8|-1|-11%|2022-06-10 12:06:59
12|SAI  Carlos Sainz  Ferrari|0|0|0|-21%|2022-06-10 12:06:59
13|Nicholas Latifi  LAT  Williams|3|1|0|-24%|2022-06-10 12:06:59
14|Yuki Tsunoda  TSU  AlphaTauri|9|8|2|-45%|2022-06-10 12:06:59
15|Esteban Ocon  OCO  Alpine|-8|-4|-1|-57%|2022-06-10 12:06:59
16|Guanyu Zhou  ZHO  Alfa Romeo|-40|-14|0|-64%|2022-06-10 12:06:59
17|Sebastian Vettel  VET  Aston Martin|1|0|0|-76%|2022-06-10 12:06:59
18|Lewis Hamilton  HAM  Mercedes|-2|-1|0|-85%|2022-06-10 12:06:59
19|Alex Albon  ALB  Williams|-16|-7|-1|-96%|2022-06-10 12:06:59
