|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Nicholas Latifi  LAT  Williams|1|0|1|90%|$6.6m|$7.0m|1.11|2022-06-19 11:00:08
1|Guanyu Zhou  ZHO  Alfa Romeo|1|0|0|80%|$8.4m|$8.0m|0.45|2022-06-19 11:00:08
2|Sergio Perez  PER  Red Bull|0|0|0|70%|$18.3m|$17.5m|1.63|2022-06-19 11:00:08
3|Daniel Ricciardo  RIC  Mclaren|1|0|1|45%|$13.5m|$14.5m|0.56|2022-06-19 11:00:08
4|Lance Stroll  STR  Aston Martin|0|0|-1|36%|$9.0m|$9.5m|1.14|2022-06-19 11:00:08
5|George Russell  RUS  Mercedes|1|0|-6|20%|$23.8m|$24.0m|1.19|2022-06-19 11:00:08
6|Mick Schumacher  SCH  Haas|1|1|1|20%|$6.2m|$6.5m|0.52|2022-06-19 11:00:08
7|Fernando Alonso  ALO  Alpine|0|0|1|11%|$12.4m|$12.5m|0.69|2022-06-19 11:00:08
8|Pierre Gasly  GAS  AlphaTauri|-1|0|-1|9%|$13.0m|$13.5m|0.75|2022-06-19 11:00:08
9|Valtteri Bottas  BOT  Alfa Romeo|-1|0|-7|7%|$9.6m|$9.0m|1.81|2022-06-19 11:00:08
10|Lewis Hamilton  HAM  Mercedes|0|0|-2|4%|$30.0m|$31.0m|0.64|2022-06-19 11:00:08
11|Sebastian Vettel  VET  Aston Martin|0|0|0|2%|$11.6m|$11.5m|0.82|2022-06-19 11:00:08
12|Max Verstappen  VER  Red Bull|0|0|0|0%|$30.5m|$30.5m|1.14|2022-06-19 11:00:08
13|Lando Norris  NOR  Mclaren|0|0|95|-4%|$15.7m|$16.0m|1.01|2022-06-19 11:00:08
14|Yuki Tsunoda  TSU  AlphaTauri|0|0|0|-5%|$8.3m|$8.5m|0.67|2022-06-19 11:00:08
15|Esteban Ocon  OCO  Alpine|-1|0|39|-7%|$12.4m|$12.0m|1.21|2022-06-19 11:00:08
16|Kevin Magnussen  MAG  Haas|0|0|-1|-18%|$6.1m|$5.5m|1.17|2022-06-19 11:00:08
17|Charles Leclerc  LEC  Ferrari|-1|-1|-2|-58%|$18.8m|$18.0m|1.5|2022-06-19 11:00:08
18|SAI  Carlos Sainz  Ferrari|0|0|0|-65%|$17.2m|$17.0m|1.06|2022-06-19 11:00:08
19|Alex Albon  ALB  Williams|0|0|-8|-84%|$7.8m|$7.5m|1.15|2022-06-19 11:00:08
