|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Max Verstappen  VER  Red Bull|14|9|0|89%|$30.6m|$30.5m|1.35|2022-09-17 23:24:45
1|Charles Leclerc  LEC  Ferrari|20|13|1|86%|$19.0m|$18.0m|1.52|2022-09-17 23:24:45
2|George Russell  RUS  Mercedes|5|3|0|8%|$23.9m|$24.0m|1.27|2022-09-17 23:24:45
3|Sergio Perez  PER  Red Bull|8|8|1|8%|$18.2m|$17.5m|1.46|2022-09-17 23:24:45
4|SAI  Carlos Sainz  Ferrari|5|5|1|5%|$17.4m|$17.0m|1.38|2022-09-17 23:24:45
5|Esteban Ocon  OCO  Alpine|0|0|0|0%|$12.3m|$12.0m|1.18|2022-09-17 23:24:45
6|Alex Albon  ALB  Williams|0|0|0|0%|$7.7m|$7.5m|1.21|2022-09-17 23:24:45
7|Nicholas Latifi  LAT  Williams|-4|-4|-1|-4%|$6.7m|$7.0m|0.74|2022-09-17 23:24:45
8|Kevin Magnussen  MAG  Haas|-1|-1|0|-12%|$6.1m|$5.5m|1.17|2022-09-17 23:24:45
9|Fernando Alonso  ALO  Alpine|-6|-4|-1|-15%|$12.6m|$12.5m|1.06|2022-09-17 23:24:45
10|Lando Norris  NOR  Mclaren|-6|-3|0|-16%|$15.8m|$16.0m|1.09|2022-09-17 23:24:45
11|Yuki Tsunoda  TSU  AlphaTauri|-17|-14|-2|-17%|$8.0m|$8.5m|0.4|2022-09-17 23:24:45
12|Pierre Gasly  GAS  AlphaTauri|-16|-10|-1|-20%|$12.7m|$13.5m|0.81|2022-09-17 23:24:45
13|Lance Stroll  STR  Aston Martin|-2|-1|-1|-30%|$9.1m|$9.5m|1.15|2022-09-17 23:24:45
14|Mick Schumacher  SCH  Haas|-1|-1|0|-30%|$6.3m|$6.5m|1.12|2022-09-17 23:24:45
15|Valtteri Bottas  BOT  Alfa Romeo|-3|-2|-1|-56%|$9.5m|$9.0m|1.11|2022-09-17 23:24:45
16|Guanyu Zhou  ZHO  Alfa Romeo|-14|-9|-1|-79%|$7.9m|$8.0m|0.65|2022-09-17 23:24:45
17|Daniel Ricciardo  RIC  Mclaren|-61|-39|-3|-84%|$13.2m|$14.5m|0.41|2022-09-17 23:24:45
18|Lewis Hamilton  HAM  Mercedes|-58|-37|-4|-94%|$29.7m|$31.0m|0.87|2022-09-17 23:24:45
19|Sebastian Vettel  VET  Aston Martin|-11|-7|-1|-97%|$11.7m|$11.5m|0.93|2022-09-17 23:24:45
