|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Charles Leclerc  LEC  Ferrari|6|0|0|87%|$18.8m|$18.0m|1.72|2022-07-10 22:16:27
1|Nicholas Latifi  LAT  Williams|-5|-1|0|74%|$6.7m|$7.0m|0.98|2022-07-10 22:16:27
2|Mick Schumacher  SCH  Haas|17|-5|-2|73%|$6.2m|$6.5m|0.94|2022-07-10 22:16:27
3|Fernando Alonso  ALO  Alpine|3|3|1|56%|$12.5m|$12.5m|0.91|2022-07-10 22:16:27
4|Lance Stroll  STR  Aston Martin|29|19|6|40%|$9.1m|$9.5m|1.33|2022-07-10 22:16:27
5|Max Verstappen  VER  Red Bull|0|-1|-1|28%|$30.4m|$30.5m|1.23|2022-07-10 22:16:27
6|Lewis Hamilton  HAM  Mercedes|-1|-1|0|17%|$30.1m|$31.0m|0.85|2022-07-10 22:16:27
7|Alex Albon  ALB  Williams|-7|-3|-1|6%|$7.6m|$7.5m|1.05|2022-07-10 22:16:27
8|Sergio Perez  PER  Red Bull|-17|-6|-2|5%|$18.4m|$17.5m|1.47|2022-07-10 22:16:27
9|Esteban Ocon  OCO  Alpine|11|1|0|3%|$12.3m|$12.0m|1.29|2022-07-10 22:16:27
10|George Russell  RUS  Mercedes|-4|0|0|-7%|$24.0m|$24.0m|1.18|2022-07-10 22:16:27
11|Daniel Ricciardo  RIC  Mclaren|-2|0|0|-11%|$13.5m|$14.5m|0.59|2022-07-10 22:16:27
12|Kevin Magnussen  MAG  Haas|-1|-1|0|-33%|$6.1m|$5.5m|1.37|2022-07-10 22:16:27
13|SAI  Carlos Sainz  Ferrari|7|5|1|-35%|$17.2m|$17.0m|1.33|2022-07-10 22:16:27
14|Guanyu Zhou  ZHO  Alfa Romeo|-9|-4|-2|-45%|$8.4m|$8.0m|0.51|2022-07-10 22:16:27
15|Yuki Tsunoda  TSU  AlphaTauri|-5|-1|0|-50%|$8.3m|$8.5m|0.51|2022-07-10 22:16:27
16|Lando Norris  NOR  Mclaren|11|7|2|-67%|$15.7m|$16.0m|1.12|2022-07-10 22:16:27
17|Valtteri Bottas  BOT  Alfa Romeo|-14|-5|-1|-72%|$9.7m|$9.0m|1.67|2022-07-10 22:16:27
18|Pierre Gasly  GAS  AlphaTauri|-4|0|0|-78%|$12.9m|$13.5m|0.69|2022-07-10 22:16:27
19|Sebastian Vettel  VET  Aston Martin|-7|-1|0|-93%|$11.5m|$11.5m|0.98|2022-07-10 22:16:27
