|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Nicholas Latifi  LAT  Williams|65|14|1|86%|$6.9m|$7.0m|0.77|2022-08-10 22:50:45
1|Mick Schumacher  SCH  Haas|-5|-2|-1|85%|$6.3m|$6.5m|1.04|2022-08-10 22:50:45
2|Esteban Ocon  OCO  Alpine|-4|-1|0|57%|$12.3m|$12.0m|1.23|2022-08-10 22:50:45
3|Yuki Tsunoda  TSU  AlphaTauri|-13|-4|-1|57%|$8.4m|$8.5m|0.39|2022-08-10 22:50:45
4|Alex Albon  ALB  Williams|-10|-3|0|57%|$7.6m|$7.5m|1.08|2022-08-10 22:50:45
5|Pierre Gasly  GAS  AlphaTauri|-14|-4|-1|52%|$13.0m|$13.5m|0.75|2022-08-10 22:50:45
6|Sebastian Vettel  VET  Aston Martin|28|7|1|28%|$11.6m|$11.5m|1.0|2022-08-10 22:50:45
7|Lewis Hamilton  HAM  Mercedes|0|0|0|2%|$30.6m|$31.0m|0.91|2022-08-10 22:50:45
8|Lance Stroll  STR  Aston Martin|2|0|0|2%|$9.1m|$9.5m|1.35|2022-08-10 22:50:45
9|Guanyu Zhou  ZHO  Alfa Romeo|0|0|0|-1%|$8.1m|$8.0m|0.54|2022-08-10 22:50:45
10|Kevin Magnussen  MAG  Haas|0|0|0|-5%|$6.1m|$5.5m|1.1|2022-08-10 22:50:45
11|SAI  Carlos Sainz  Ferrari|0|0|0|-20%|$17.2m|$17.0m|1.39|2022-08-10 22:50:45
12|George Russell  RUS  Mercedes|0|0|0|-25%|$23.8m|$24.0m|1.19|2022-08-10 22:50:45
13|Fernando Alonso  ALO  Alpine|-1|-1|0|-28%|$12.6m|$12.5m|0.98|2022-08-10 22:50:45
14|Charles Leclerc  LEC  Ferrari|0|0|0|-38%|$18.7m|$18.0m|1.54|2022-08-10 22:50:45
15|Max Verstappen  VER  Red Bull|0|0|0|-48%|$30.4m|$30.5m|1.3|2022-08-10 22:50:45
16|Sergio Perez  PER  Red Bull|-1|0|0|-68%|$18.0m|$17.5m|1.47|2022-08-10 22:50:45
17|Daniel Ricciardo  RIC  Mclaren|-32|0|0|-72%|$13.7m|$14.5m|0.52|2022-08-10 22:50:45
18|Lando Norris  NOR  Mclaren|-2|0|0|-81%|$15.9m|$16.0m|1.09|2022-08-10 22:50:45
19|Valtteri Bottas  BOT  Alfa Romeo|-3|-1|0|-87%|$9.6m|$9.0m|1.47|2022-08-10 22:50:45
