|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|George Russell  RUS  Mercedes|4|3|0|77%|$24.1m|$24.0m|1.26|2022-09-27 19:04:50
1|Sergio Perez  PER  Red Bull|12|10|0|74%|$18.9m|$17.5m|1.41|2022-09-27 19:04:50
2|Charles Leclerc  LEC  Ferrari|18|15|1|46%|$20.0m|$18.0m|1.44|2022-09-27 19:04:50
3|SAI  Carlos Sainz  Ferrari|7|6|0|14%|$17.9m|$17.0m|1.34|2022-09-27 19:04:50
4|Max Verstappen  VER  Red Bull|8|8|0|8%|$31.4m|$30.5m|1.31|2022-09-27 19:04:50
5|Esteban Ocon  OCO  Alpine|0|0|0|0%|$12.3m|$12.0m|1.18|2022-09-27 19:04:50
6|Alex Albon  ALB  Williams|0|0|0|0%|$7.7m|$7.5m|1.21|2022-09-27 19:04:50
7|Fernando Alonso  ALO  Alpine|-2|-2|0|-2%|$12.3m|$12.5m|1.09|2022-09-27 19:04:50
8|Lando Norris  NOR  Mclaren|-4|-3|0|-7%|$15.5m|$16.0m|1.11|2022-09-27 19:04:50
9|Lance Stroll  STR  Aston Martin|-1|-1|0|-9%|$9.0m|$9.5m|1.16|2022-09-27 19:04:50
10|Nicholas Latifi  LAT  Williams|-7|-6|0|-10%|$6.2m|$7.0m|0.8|2022-09-27 19:04:50
11|Mick Schumacher  SCH  Haas|-1|-1|0|-12%|$6.2m|$6.5m|1.14|2022-09-27 19:04:50
12|Pierre Gasly  GAS  AlphaTauri|-11|-10|0|-16%|$11.9m|$13.5m|0.87|2022-09-27 19:04:50
13|Daniel Ricciardo  RIC  Mclaren|-19|-19|-1|-19%|$10.4m|$14.5m|0.52|2022-09-27 19:04:50
14|Yuki Tsunoda  TSU  AlphaTauri|-22|-19|-1|-36%|$6.6m|$8.5m|0.48|2022-09-27 19:04:50
15|Kevin Magnussen  MAG  Haas|-1|-1|0|-45%|$6.1m|$5.5m|1.17|2022-09-27 19:04:50
16|Lewis Hamilton  HAM  Mercedes|-35|-29|0|-55%|$27.1m|$31.0m|0.95|2022-09-27 19:04:50
17|Guanyu Zhou  ZHO  Alfa Romeo|-11|-9|0|-72%|$7.2m|$8.0m|0.71|2022-09-27 19:04:50
18|Sebastian Vettel  VET  Aston Martin|-7|-6|0|-85%|$11.2m|$11.5m|0.98|2022-09-27 19:04:50
19|Valtteri Bottas  BOT  Alfa Romeo|-2|-2|0|-99%|$9.4m|$9.0m|1.12|2022-09-27 19:04:50
