|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Esteban Ocon  OCO  Alpine|-5|0|0|53%|$12.3m|$12.0m|1.23|2022-08-02 19:26:41
1|Alex Albon  ALB  Williams|-6|0|0|48%|$7.6m|$7.5m|1.08|2022-08-02 19:26:41
2|Lando Norris  NOR  Mclaren|34|16|1|45%|$15.9m|$16.0m|1.09|2022-08-02 19:26:41
3|Nicholas Latifi  LAT  Williams|1|0|0|42%|$6.7m|$7.0m|0.79|2022-08-02 19:26:41
4|Mick Schumacher  SCH  Haas|-4|0|0|36%|$6.3m|$6.5m|1.04|2022-08-02 19:26:41
5|Guanyu Zhou  ZHO  Alfa Romeo|44|7|1|34%|$8.2m|$8.0m|0.53|2022-08-02 19:26:41
6|Lance Stroll  STR  Aston Martin|-3|0|0|28%|$9.2m|$9.5m|1.34|2022-08-02 19:26:41
7|Lewis Hamilton  HAM  Mercedes|79|30|2|17%|$30.1m|$31.0m|0.93|2022-08-02 19:26:41
8|SAI  Carlos Sainz  Ferrari|-3|-1|0|8%|$17.2m|$17.0m|1.39|2022-08-02 19:26:41
9|Charles Leclerc  LEC  Ferrari|-13|-4|0|-4%|$18.8m|$18.0m|1.53|2022-08-02 19:26:41
10|Sebastian Vettel  VET  Aston Martin|1|0|0|-5%|$11.4m|$11.5m|1.02|2022-08-02 19:26:41
11|Fernando Alonso  ALO  Alpine|2|0|0|-13%|$12.6m|$12.5m|0.98|2022-08-02 19:26:41
12|Kevin Magnussen  MAG  Haas|4|1|0|-15%|$6.1m|$5.5m|1.1|2022-08-02 19:26:41
13|Max Verstappen  VER  Red Bull|-9|-4|0|-24%|$30.4m|$30.5m|1.3|2022-08-02 19:26:41
14|Valtteri Bottas  BOT  Alfa Romeo|2|0|0|-26%|$9.6m|$9.0m|1.47|2022-08-02 19:26:41
15|Daniel Ricciardo  RIC  Mclaren|-33|-12|-1|-36%|$14.1m|$14.5m|0.51|2022-08-02 19:26:41
16|Yuki Tsunoda  TSU  AlphaTauri|5|0|0|-74%|$8.3m|$8.5m|0.4|2022-08-02 19:26:41
17|Pierre Gasly  GAS  AlphaTauri|6|0|0|-82%|$12.9m|$13.5m|0.75|2022-08-02 19:26:41
18|George Russell  RUS  Mercedes|-15|-7|0|-87%|$24.0m|$24.0m|1.18|2022-08-02 19:26:41
19|Sergio Perez  PER  Red Bull|-27|-10|0|-94%|$18.2m|$17.5m|1.45|2022-08-02 19:26:41
