|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Esteban Ocon  OCO  Alpine|12|1|0|92%|$12.3m|$12.0m|1.29|2022-07-25 21:53:15
1|Nicholas Latifi  LAT  Williams|10|1|0|78%|$6.7m|$7.0m|0.78|2022-07-25 21:53:15
2|Lance Stroll  STR  Aston Martin|3|0|0|66%|$9.2m|$9.5m|1.35|2022-07-25 21:53:15
3|Mick Schumacher  SCH  Haas|1|0|0|47%|$6.3m|$6.5m|1.02|2022-07-25 21:53:15
4|Alex Albon  ALB  Williams|22|5|1|22%|$7.6m|$7.5m|1.1|2022-07-25 21:53:15
5|Lando Norris  NOR  Mclaren|20|3|0|4%|$15.9m|$16.0m|1.1|2022-07-25 21:53:15
6|Valtteri Bottas  BOT  Alfa Romeo|8|2|1|4%|$9.6m|$9.0m|1.6|2022-07-25 21:53:15
7|George Russell  RUS  Mercedes|-4|-4|0|-4%|$24.3m|$24.0m|1.17|2022-07-25 21:53:15
8|Fernando Alonso  ALO  Alpine|11|2|0|-17%|$12.6m|$12.5m|0.98|2022-07-25 21:53:15
9|Daniel Ricciardo  RIC  Mclaren|11|0|0|-31%|$13.5m|$14.5m|0.6|2022-07-25 21:53:15
10|Guanyu Zhou  ZHO  Alfa Romeo|-1|1|0|-31%|$8.2m|$8.0m|0.54|2022-07-25 21:53:15
11|Kevin Magnussen  MAG  Haas|2|0|0|-38%|$6.1m|$5.5m|1.2|2022-07-25 21:53:15
12|Sebastian Vettel  VET  Aston Martin|4|1|0|-43%|$11.4m|$11.5m|0.99|2022-07-25 21:53:15
13|Charles Leclerc  LEC  Ferrari|1|1|0|-47%|$18.8m|$18.0m|1.6|2022-07-25 21:53:15
14|Pierre Gasly  GAS  AlphaTauri|-1|0|0|-73%|$12.9m|$13.5m|0.72|2022-07-25 21:53:15
15|Yuki Tsunoda  TSU  AlphaTauri|-1|0|0|-73%|$8.3m|$8.5m|0.45|2022-07-25 21:53:15
16|Max Verstappen  VER  Red Bull|-6|-3|-1|-85%|$30.5m|$30.5m|1.25|2022-07-25 21:53:15
17|Lewis Hamilton  HAM  Mercedes|-6|0|0|-88%|$30.1m|$31.0m|0.88|2022-07-25 21:53:15
18|SAI  Carlos Sainz  Ferrari|-25|-4|-1|-88%|$17.3m|$17.0m|1.37|2022-07-25 21:53:15
19|Sergio Perez  PER  Red Bull|-21|1|0|-97%|$18.3m|$17.5m|1.46|2022-07-25 21:53:15
