|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Nicholas Latifi  LAT  Williams|-7|0|0|79%|$6.7m|$7.0m|1.09|2022-07-08 16:21:16
1|Charles Leclerc  LEC  Ferrari|28|0|0|78%|$18.8m|$18.0m|1.5|2022-07-08 16:21:16
2|Fernando Alonso  ALO  Alpine|37|0|0|52%|$12.5m|$12.5m|0.86|2022-07-08 16:21:16
3|Mick Schumacher  SCH  Haas|26|1|1|43%|$6.2m|$6.5m|0.66|2022-07-08 16:21:16
4|Max Verstappen  VER  Red Bull|31|0|0|27%|$30.4m|$30.5m|1.12|2022-07-08 16:21:16
5|Sergio Perez  PER  Red Bull|-22|0|0|27%|$18.4m|$17.5m|1.46|2022-07-08 16:21:16
6|Lewis Hamilton  HAM  Mercedes|-8|0|0|18%|$30.1m|$31.0m|0.75|2022-07-08 16:21:16
7|Alex Albon  ALB  Williams|-21|0|0|15%|$7.6m|$7.5m|0.93|2022-07-08 16:21:16
8|Lance Stroll  STR  Aston Martin|11|0|0|12%|$9.1m|$9.5m|1.22|2022-07-08 16:21:16
9|Daniel Ricciardo  RIC  Mclaren|-13|0|0|-8%|$13.5m|$14.5m|0.5|2022-07-08 16:21:16
10|Esteban Ocon  OCO  Alpine|-8|1|1|-13%|$12.3m|$12.0m|1.12|2022-07-08 16:21:16
11|Kevin Magnussen  MAG  Haas|16|0|0|-32%|$6.1m|$5.5m|1.24|2022-07-08 16:21:16
12|Guanyu Zhou  ZHO  Alfa Romeo|11|0|0|-35%|$8.4m|$8.0m|0.44|2022-07-08 16:21:16
13|SAI  Carlos Sainz  Ferrari|-5|0|0|-42%|$17.2m|$17.0m|1.34|2022-07-08 16:21:16
14|Yuki Tsunoda  TSU  AlphaTauri|17|0|0|-43%|$8.3m|$8.5m|0.5|2022-07-08 16:21:16
15|Valtteri Bottas  BOT  Alfa Romeo|-52|0|0|-54%|$9.7m|$9.0m|1.59|2022-07-08 16:21:16
16|Pierre Gasly  GAS  AlphaTauri|-21|-1|-1|-71%|$12.9m|$13.5m|0.68|2022-07-08 16:21:16
17|Lando Norris  NOR  Mclaren|-56|0|0|-76%|$15.7m|$16.0m|0.97|2022-07-08 16:21:16
18|Sebastian Vettel  VET  Aston Martin|-22|0|0|-83%|$11.5m|$11.5m|0.92|2022-07-08 16:21:16
19|George Russell  RUS  Mercedes|-89|0|0|-99%|$24.0m|$24.0m|1.09|2022-07-08 16:21:16
