|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Max Verstappen  VER  Red Bull|11|9|1|76%|$31.7m|$30.5m|1.25|2022-10-02 23:49:12
1|SAI  Carlos Sainz  Ferrari|7|6|0|74%|$18.1m|$17.0m|1.34|2022-10-02 23:49:12
2|Sergio Perez  PER  Red Bull|12|9|0|65%|$19.3m|$17.5m|1.43|2022-10-02 23:49:12
3|Charles Leclerc  LEC  Ferrari|14|12|0|34%|$20.5m|$18.0m|1.45|2022-10-02 23:49:12
4|George Russell  RUS  Mercedes|4|3|0|15%|$24.3m|$24.0m|1.18|2022-10-02 23:49:12
5|Esteban Ocon  OCO  Alpine|0|0|0|0%|$12.3m|$12.0m|1.07|2022-10-02 23:49:12
6|Pierre Gasly  GAS  AlphaTauri|-12|-9|0|-23%|$11.5m|$13.5m|0.88|2022-10-02 23:49:12
7|Guanyu Zhou  ZHO  Alfa Romeo|-10|-8|0|-26%|$6.8m|$8.0m|0.66|2022-10-02 23:49:12
8|Alex Albon  ALB  Williams|-2|-2|0|-27%|$7.7m|$7.5m|1.08|2022-10-02 23:49:12
9|Sebastian Vettel  VET  Aston Martin|-7|-6|0|-35%|$10.9m|$11.5m|1.04|2022-10-02 23:49:12
10|Fernando Alonso  ALO  Alpine|-4|-3|0|-47%|$12.2m|$12.5m|1.04|2022-10-02 23:49:12
11|Lance Stroll  STR  Aston Martin|-1|-1|0|-48%|$9.0m|$9.5m|1.26|2022-10-02 23:49:12
12|Mick Schumacher  SCH  Haas|-2|-1|0|-53%|$6.2m|$6.5m|1.1|2022-10-02 23:49:12
13|Lando Norris  NOR  Mclaren|-4|-4|0|-55%|$15.4m|$16.0m|1.17|2022-10-02 23:49:12
14|Kevin Magnussen  MAG  Haas|0|0|0|-62%|$6.1m|$5.5m|1.15|2022-10-02 23:49:12
15|Yuki Tsunoda  TSU  AlphaTauri|-21|-16|0|-68%|$5.9m|$8.5m|0.45|2022-10-02 23:49:12
16|Daniel Ricciardo  RIC  Mclaren|-35|-27|0|-69%|$9.3m|$14.5m|0.68|2022-10-02 23:49:12
17|Nicholas Latifi  LAT  Williams|-8|-6|0|-69%|$6.0m|$7.0m|0.69|2022-10-02 23:49:12
18|Valtteri Bottas  BOT  Alfa Romeo|-2|-2|0|-70%|$9.3m|$9.0m|1.16|2022-10-02 23:49:12
19|Lewis Hamilton  HAM  Mercedes|-32|-26|-1|-96%|$26.0m|$31.0m|0.96|2022-10-02 23:49:12
