|Driver|12 Hour|3 Hour|Latest|Sentiment|ts
0|Pierre Gasly  GAS  AlphaTauri|5|5|0|82%|2022-06-11 08:13:07
1|George Russell  RUS  Mercedes|-19|-13|-3|60%|2022-06-11 08:13:07
2|Valtteri Bottas  BOT  Alfa Romeo|10|11|0|52%|2022-06-11 08:13:07
3|Fernando Alonso  ALO  Alpine|29|13|2|45%|2022-06-11 08:13:07
4|Charles Leclerc  LEC  Ferrari|0|0|-1|39%|2022-06-11 08:13:07
5|Mick Schumacher  SCH  Haas|-13|-10|-1|17%|2022-06-11 08:13:07
6|Sergio Perez  PER  Red Bull|12|12|6|12%|2022-06-11 08:13:07
7|Kevin Magnussen  MAG  Haas|-9|-6|-1|8%|2022-06-11 08:13:07
8|Daniel Ricciardo  RIC  Mclaren|5|8|2|-2%|2022-06-11 08:13:07
9|Guanyu Zhou  ZHO  Alfa Romeo|-8|-7|0|-9%|2022-06-11 08:13:07
10|Max Verstappen  VER  Red Bull|-8|-6|0|-11%|2022-06-11 08:13:07
11|Nicholas Latifi  LAT  Williams|7|5|1|-15%|2022-06-11 08:13:07
12|Lance Stroll  STR  Aston Martin|-16|-16|-11|-16%|2022-06-11 08:13:07
13|Yuki Tsunoda  TSU  AlphaTauri|20|11|1|-16%|2022-06-11 08:13:07
14|SAI  Carlos Sainz  Ferrari|0|0|0|-20%|2022-06-11 08:13:07
15|Lando Norris  NOR  Mclaren|-9|1|1|-28%|2022-06-11 08:13:07
16|Esteban Ocon  OCO  Alpine|25|24|2|-32%|2022-06-11 08:13:07
17|Sebastian Vettel  VET  Aston Martin|8|7|1|-68%|2022-06-11 08:13:07
18|Lewis Hamilton  HAM  Mercedes|-5|-3|0|-92%|2022-06-11 08:13:07
19|Alex Albon  ALB  Williams|2|4|0|-95%|2022-06-11 08:13:07
