|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Fernando Alonso  ALO  Alpine|-39|0|-40|58%|$12.6m|$12.5m|0.98|2022-08-20 11:51:26
1|Mick Schumacher  SCH  Haas|-25|0|-26|47%|$6.3m|$6.5m|1.04|2022-08-20 11:51:26
2|Esteban Ocon  OCO  Alpine|-6|0|-6|14%|$12.3m|$12.0m|1.23|2022-08-20 11:51:26
3|Daniel Ricciardo  RIC  Mclaren|-2|0|-2|4%|$14.2m|$14.5m|0.5|2022-08-20 11:51:26
4|Guanyu Zhou  ZHO  Alfa Romeo|-2|0|-2|3%|$8.1m|$8.0m|0.54|2022-08-20 11:51:26
5|Lewis Hamilton  HAM  Mercedes|0|0|0|2%|$30.6m|$31.0m|0.91|2022-08-20 11:51:26
6|Lance Stroll  STR  Aston Martin|-1|0|-1|2%|$9.1m|$9.5m|1.35|2022-08-20 11:51:26
7|Sergio Perez  PER  Red Bull|3|0|3|-5%|$17.9m|$17.5m|1.47|2022-08-20 11:51:26
8|Nicholas Latifi  LAT  Williams|4|0|4|-7%|$6.9m|$7.0m|0.77|2022-08-20 11:51:26
9|Kevin Magnussen  MAG  Haas|3|0|3|-7%|$6.1m|$5.5m|1.1|2022-08-20 11:51:26
10|George Russell  RUS  Mercedes|6|0|6|-11%|$23.8m|$24.0m|1.19|2022-08-20 11:51:26
11|Sebastian Vettel  VET  Aston Martin|7|0|7|-17%|$11.8m|$11.5m|0.98|2022-08-20 11:51:26
12|SAI  Carlos Sainz  Ferrari|9|0|9|-20%|$17.2m|$17.0m|1.39|2022-08-20 11:51:26
13|Alex Albon  ALB  Williams|10|0|10|-22%|$7.6m|$7.5m|1.08|2022-08-20 11:51:26
14|Charles Leclerc  LEC  Ferrari|12|0|12|-23%|$18.7m|$18.0m|1.54|2022-08-20 11:51:26
15|Max Verstappen  VER  Red Bull|15|0|14|-27%|$30.4m|$30.5m|1.3|2022-08-20 11:51:26
16|Valtteri Bottas  BOT  Alfa Romeo|13|0|13|-29%|$9.5m|$9.0m|1.48|2022-08-20 11:51:26
17|Lando Norris  NOR  Mclaren|22|0|22|-51%|$15.9m|$16.0m|1.09|2022-08-20 11:51:26
18|Pierre Gasly  GAS  AlphaTauri|22|0|22|-57%|$13.0m|$13.5m|0.75|2022-08-20 11:51:26
19|Yuki Tsunoda  TSU  AlphaTauri|19|0|19|-58%|$8.4m|$8.5m|0.39|2022-08-20 11:51:26
