|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Mick Schumacher  SCH  Haas|0|2|1|87%|$6.2m|$6.5m|0.94|2022-07-12 18:54:46
1|Fernando Alonso  ALO  Alpine|-1|0|0|81%|$12.5m|$12.5m|0.91|2022-07-12 18:54:46
2|Nicholas Latifi  LAT  Williams|7|0|0|70%|$6.7m|$7.0m|0.98|2022-07-12 18:54:46
3|SAI  Carlos Sainz  Ferrari|17|1|0|55%|$17.2m|$17.0m|1.33|2022-07-12 18:54:46
4|Lando Norris  NOR  Mclaren|47|1|0|47%|$15.8m|$16.0m|1.11|2022-07-12 18:54:46
5|Charles Leclerc  LEC  Ferrari|-23|-1|0|27%|$18.8m|$18.0m|1.72|2022-07-12 18:54:46
6|Max Verstappen  VER  Red Bull|-2|0|0|11%|$30.4m|$30.5m|1.23|2022-07-12 18:54:46
7|Esteban Ocon  OCO  Alpine|-2|0|0|4%|$12.3m|$12.0m|1.29|2022-07-12 18:54:46
8|George Russell  RUS  Mercedes|12|0|0|3%|$24.0m|$24.0m|1.18|2022-07-12 18:54:46
9|Lance Stroll  STR  Aston Martin|-2|0|0|-2%|$9.2m|$9.5m|1.31|2022-07-12 18:54:46
10|Sebastian Vettel  VET  Aston Martin|-2|0|0|-8%|$11.4m|$11.5m|0.99|2022-07-12 18:54:46
11|Lewis Hamilton  HAM  Mercedes|-11|-1|0|-20%|$30.1m|$31.0m|0.85|2022-07-12 18:54:46
12|Daniel Ricciardo  RIC  Mclaren|-3|0|0|-26%|$13.5m|$14.5m|0.59|2022-07-12 18:54:46
13|Guanyu Zhou  ZHO  Alfa Romeo|-14|-1|0|-28%|$8.3m|$8.0m|0.51|2022-07-12 18:54:46
14|Kevin Magnussen  MAG  Haas|-3|0|0|-47%|$6.1m|$5.5m|1.37|2022-07-12 18:54:46
15|Yuki Tsunoda  TSU  AlphaTauri|-3|-1|-1|-62%|$8.3m|$8.5m|0.51|2022-07-12 18:54:46
16|Sergio Perez  PER  Red Bull|-3|0|0|-68%|$18.4m|$17.5m|1.47|2022-07-12 18:54:46
17|Pierre Gasly  GAS  AlphaTauri|-1|0|0|-85%|$12.9m|$13.5m|0.69|2022-07-12 18:54:46
18|Valtteri Bottas  BOT  Alfa Romeo|1|-1|-1|-94%|$9.7m|$9.0m|1.67|2022-07-12 18:54:46
19|Alex Albon  ALB  Williams|-20|-1|0|-95%|$7.6m|$7.5m|1.05|2022-07-12 18:54:46
