|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Fernando Alonso  ALO  Alpine|1|1|0|96%|$12.4m|$12.5m|0.63|2022-06-30 08:41:50
1|Lewis Hamilton  HAM  Mercedes|0|0|0|90%|$30.0m|$31.0m|0.75|2022-06-30 08:41:50
2|Sergio Perez  PER  Red Bull|-1|0|0|84%|$18.4m|$17.5m|1.56|2022-06-30 08:41:50
3|George Russell  RUS  Mercedes|2|1|1|54%|$23.8m|$24.0m|1.29|2022-06-30 08:41:50
4|Nicholas Latifi  LAT  Williams|1|0|0|47%|$6.7m|$7.0m|1.21|2022-06-30 08:41:50
5|Daniel Ricciardo  RIC  Mclaren|0|0|0|40%|$13.5m|$14.5m|0.56|2022-06-30 08:41:50
6|Valtteri Bottas  BOT  Alfa Romeo|0|0|0|31%|$9.6m|$9.0m|2.01|2022-06-30 08:41:50
7|Lance Stroll  STR  Aston Martin|0|0|0|18%|$9.1m|$9.5m|1.31|2022-06-30 08:41:50
8|Esteban Ocon  OCO  Alpine|0|0|0|16%|$12.3m|$12.0m|1.35|2022-06-30 08:41:50
9|Sebastian Vettel  VET  Aston Martin|0|0|0|5%|$11.6m|$11.5m|0.93|2022-06-30 08:41:50
10|Max Verstappen  VER  Red Bull|0|0|0|-1%|$30.4m|$30.5m|1.25|2022-06-30 08:41:50
11|Pierre Gasly  GAS  AlphaTauri|-1|0|0|-11%|$13.0m|$13.5m|0.82|2022-06-30 08:41:50
12|Alex Albon  ALB  Williams|0|0|0|-11%|$7.6m|$7.5m|1.21|2022-06-30 08:41:50
13|Yuki Tsunoda  TSU  AlphaTauri|-1|0|0|-15%|$8.3m|$8.5m|0.54|2022-06-30 08:41:50
14|Mick Schumacher  SCH  Haas|0|0|0|-23%|$6.2m|$6.5m|0.34|2022-06-30 08:41:50
15|Kevin Magnussen  MAG  Haas|0|0|0|-30%|$6.1m|$5.5m|1.06|2022-06-30 08:41:50
16|SAI  Carlos Sainz  Ferrari|0|0|0|-31%|$17.2m|$17.0m|1.25|2022-06-30 08:41:50
17|Charles Leclerc  LEC  Ferrari|0|0|0|-35%|$18.8m|$18.0m|1.62|2022-06-30 08:41:50
18|Lando Norris  NOR  Mclaren|0|0|0|-38%|$15.7m|$16.0m|1.0|2022-06-30 08:41:50
19|Guanyu Zhou  ZHO  Alfa Romeo|0|0|0|-38%|$8.4m|$8.0m|0.57|2022-06-30 08:41:50
