|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Lando Norris  NOR  Mclaren|2|2|2|95%|$15.8m|$16.0m|1.11|2022-07-14 07:58:32
1|Fernando Alonso  ALO  Alpine|10|6|6|91%|$12.5m|$12.5m|0.91|2022-07-14 07:58:32
2|Mick Schumacher  SCH  Haas|0|1|0|88%|$6.2m|$6.5m|0.94|2022-07-14 07:58:32
3|Nicholas Latifi  LAT  Williams|-5|-2|-2|54%|$6.7m|$7.0m|0.98|2022-07-14 07:58:32
4|George Russell  RUS  Mercedes|16|6|6|41%|$24.0m|$24.0m|1.18|2022-07-14 07:58:32
5|Max Verstappen  VER  Red Bull|13|9|8|37%|$30.4m|$30.5m|1.23|2022-07-14 07:58:32
6|Lance Stroll  STR  Aston Martin|3|-3|-3|23%|$9.2m|$9.5m|1.31|2022-07-14 07:58:32
7|SAI  Carlos Sainz  Ferrari|-4|-4|-4|-4%|$17.3m|$17.0m|1.32|2022-07-14 07:58:32
8|Esteban Ocon  OCO  Alpine|-4|-2|-2|-5%|$12.3m|$12.0m|1.29|2022-07-14 07:58:32
9|Sebastian Vettel  VET  Aston Martin|-3|-1|-1|-17%|$11.4m|$11.5m|0.99|2022-07-14 07:58:32
10|Charles Leclerc  LEC  Ferrari|-17|-2|-2|-30%|$18.8m|$18.0m|1.72|2022-07-14 07:58:32
11|Daniel Ricciardo  RIC  Mclaren|-3|-1|-1|-35%|$13.5m|$14.5m|0.59|2022-07-14 07:58:32
12|Alex Albon  ALB  Williams|-12|-2|-1|-43%|$7.5m|$7.5m|1.07|2022-07-14 07:58:32
13|Lewis Hamilton  HAM  Mercedes|-8|-3|-2|-47%|$30.1m|$31.0m|0.85|2022-07-14 07:58:32
14|Kevin Magnussen  MAG  Haas|-2|-1|-1|-55%|$6.1m|$5.5m|1.37|2022-07-14 07:58:32
15|Sergio Perez  PER  Red Bull|8|0|0|-64%|$18.4m|$17.5m|1.47|2022-07-14 07:58:32
16|Yuki Tsunoda  TSU  AlphaTauri|-2|-1|-1|-67%|$8.3m|$8.5m|0.51|2022-07-14 07:58:32
17|Guanyu Zhou  ZHO  Alfa Romeo|-16|-4|-4|-81%|$8.3m|$8.0m|0.51|2022-07-14 07:58:32
18|Pierre Gasly  GAS  AlphaTauri|-1|0|0|-87%|$12.9m|$13.5m|0.69|2022-07-14 07:58:32
19|Valtteri Bottas  BOT  Alfa Romeo|1|0|0|-92%|$9.7m|$9.0m|1.67|2022-07-14 07:58:32
