|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Nicholas Latifi  LAT  Williams|32|2|1|82%|$6.7m|$7.0m|1.18|2022-07-05 17:55:35
1|Charles Leclerc  LEC  Ferrari|79|1|0|49%|$18.8m|$18.0m|1.57|2022-07-05 17:55:35
2|Alex Albon  ALB  Williams|50|0|0|43%|$7.6m|$7.5m|0.97|2022-07-05 17:55:35
3|Lewis Hamilton  HAM  Mercedes|35|0|0|35%|$30.1m|$31.0m|0.8|2022-07-05 17:55:35
4|Sergio Perez  PER  Red Bull|-46|0|0|33%|$18.4m|$17.5m|1.6|2022-07-05 17:55:35
5|Daniel Ricciardo  RIC  Mclaren|-20|0|0|18%|$13.5m|$14.5m|0.54|2022-07-05 17:55:35
6|Mick Schumacher  SCH  Haas|45|0|0|12%|$6.2m|$6.5m|0.61|2022-07-05 17:55:35
7|Max Verstappen  VER  Red Bull|2|0|0|10%|$30.4m|$30.5m|1.18|2022-07-05 17:55:35
8|Fernando Alonso  ALO  Alpine|6|0|0|6%|$12.5m|$12.5m|0.86|2022-07-05 17:55:35
9|Esteban Ocon  OCO  Alpine|-11|-1|-1|6%|$12.3m|$12.0m|1.15|2022-07-05 17:55:35
10|George Russell  RUS  Mercedes|0|-1|0|0%|$24.0m|$24.0m|1.15|2022-07-05 17:55:35
11|Valtteri Bottas  BOT  Alfa Romeo|0|0|0|0%|$9.7m|$9.0m|1.71|2022-07-05 17:55:35
12|Lance Stroll  STR  Aston Martin|-23|0|0|-4%|$9.1m|$9.5m|1.31|2022-07-05 17:55:35
13|Lando Norris  NOR  Mclaren|20|0|0|-21%|$15.7m|$16.0m|1.04|2022-07-05 17:55:35
14|Guanyu Zhou  ZHO  Alfa Romeo|20|0|0|-22%|$8.4m|$8.0m|0.48|2022-07-05 17:55:35
15|SAI  Carlos Sainz  Ferrari|-9|1|0|-40%|$17.2m|$17.0m|1.41|2022-07-05 17:55:35
16|Pierre Gasly  GAS  AlphaTauri|-43|0|0|-43%|$12.9m|$13.5m|0.7|2022-07-05 17:55:35
17|Kevin Magnussen  MAG  Haas|-17|0|0|-48%|$6.1m|$5.5m|1.2|2022-07-05 17:55:35
18|Sebastian Vettel  VET  Aston Martin|-55|0|0|-55%|$11.5m|$11.5m|1.01|2022-07-05 17:55:35
19|Yuki Tsunoda  TSU  AlphaTauri|-36|0|0|-55%|$8.3m|$8.5m|0.53|2022-07-05 17:55:35
