|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Daniel Ricciardo  RIC  Mclaren|95|42|7|95%|$13.8m|$14.5m|0.59|2022-07-29 07:40:32
1|Alex Albon  ALB  Williams|5|6|0|61%|$7.6m|$7.5m|1.1|2022-07-29 07:40:32
2|Esteban Ocon  OCO  Alpine|2|4|0|60%|$12.3m|$12.0m|1.29|2022-07-29 07:40:32
3|Nicholas Latifi  LAT  Williams|-4|0|0|36%|$6.7m|$7.0m|0.78|2022-07-29 07:40:32
4|Mick Schumacher  SCH  Haas|2|1|1|36%|$6.3m|$6.5m|1.02|2022-07-29 07:40:32
5|Sergio Perez  PER  Red Bull|7|0|0|34%|$18.2m|$17.5m|1.47|2022-07-29 07:40:32
6|Lance Stroll  STR  Aston Martin|-3|4|0|24%|$9.2m|$9.5m|1.35|2022-07-29 07:40:32
7|Valtteri Bottas  BOT  Alfa Romeo|3|0|0|16%|$9.6m|$9.0m|1.6|2022-07-29 07:40:32
8|Charles Leclerc  LEC  Ferrari|5|0|-1|5%|$18.8m|$18.0m|1.6|2022-07-29 07:40:32
9|Kevin Magnussen  MAG  Haas|2|0|0|-18%|$6.1m|$5.5m|1.2|2022-07-29 07:40:32
10|George Russell  RUS  Mercedes|-21|-20|-1|-21%|$24.1m|$24.0m|1.18|2022-07-29 07:40:32
11|Max Verstappen  VER  Red Bull|-9|-6|0|-23%|$30.4m|$30.5m|1.25|2022-07-29 07:40:32
12|Sebastian Vettel  VET  Aston Martin|-1|0|0|-31%|$11.4m|$11.5m|0.99|2022-07-29 07:40:32
13|Fernando Alonso  ALO  Alpine|-4|1|0|-34%|$12.6m|$12.5m|0.98|2022-07-29 07:40:32
14|Lando Norris  NOR  Mclaren|-15|-5|-1|-53%|$15.9m|$16.0m|1.1|2022-07-29 07:40:32
15|Pierre Gasly  GAS  AlphaTauri|-1|-1|-1|-55%|$12.9m|$13.5m|0.72|2022-07-29 07:40:32
16|Yuki Tsunoda  TSU  AlphaTauri|-1|0|0|-55%|$8.3m|$8.5m|0.45|2022-07-29 07:40:32
17|Guanyu Zhou  ZHO  Alfa Romeo|-7|0|0|-55%|$8.2m|$8.0m|0.54|2022-07-29 07:40:32
18|Lewis Hamilton  HAM  Mercedes|0|0|0|-61%|$30.1m|$31.0m|0.88|2022-07-29 07:40:32
19|SAI  Carlos Sainz  Ferrari|-6|-2|0|-97%|$17.3m|$17.0m|1.37|2022-07-29 07:40:32
