|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Sebastian Vettel  VET  Aston Martin|96|96|42|96%|$11.5m|$11.5m|0.9|2022-06-18 15:01:00
1|Nicholas Latifi  LAT  Williams|35|-6|3|88%|$6.6m|$7.0m|1.23|2022-06-18 15:01:00
2|Guanyu Zhou  ZHO  Alfa Romeo|9|-5|-2|79%|$8.4m|$8.0m|0.42|2022-06-18 15:01:00
3|Sergio Perez  PER  Red Bull|24|13|5|70%|$18.3m|$17.5m|1.82|2022-06-18 15:01:00
4|Daniel Ricciardo  RIC  Mclaren|28|14|5|44%|$13.5m|$14.5m|0.56|2022-06-18 15:01:00
5|Lance Stroll  STR  Aston Martin|69|31|7|35%|$9.0m|$9.5m|1.26|2022-06-18 15:01:00
6|George Russell  RUS  Mercedes|25|25|10|25%|$23.8m|$24.0m|1.31|2022-06-18 15:01:00
7|Mick Schumacher  SCH  Haas|0|-5|-1|19%|$6.2m|$6.5m|0.42|2022-06-18 15:01:00
8|Valtteri Bottas  BOT  Alfa Romeo|-34|-18|-6|15%|$9.6m|$9.0m|2.01|2022-06-18 15:01:00
9|Pierre Gasly  GAS  AlphaTauri|9|9|-90|9%|$13.0m|$13.5m|0.82|2022-06-18 15:01:00
10|Lewis Hamilton  HAM  Mercedes|4|-3|0|6%|$30.0m|$31.0m|0.65|2022-06-18 15:01:00
11|Fernando Alonso  ALO  Alpine|6|6|-69|6%|$12.4m|$12.5m|0.64|2022-06-18 15:01:00
12|Max Verstappen  VER  Red Bull|10|11|3|0%|$30.5m|$30.5m|1.23|2022-06-18 15:01:00
13|Yuki Tsunoda  TSU  AlphaTauri|-16|-21|-5|-3%|$8.3m|$8.5m|0.74|2022-06-18 15:01:00
14|Kevin Magnussen  MAG  Haas|-17|-12|-4|-17%|$6.1m|$5.5m|1.09|2022-06-18 15:01:00
15|Esteban Ocon  OCO  Alpine|-11|-7|-2|-46%|$12.4m|$12.0m|1.29|2022-06-18 15:01:00
16|Charles Leclerc  LEC  Ferrari|-48|-48|46|-48%|$18.8m|$18.0m|1.67|2022-06-18 15:01:00
17|SAI  Carlos Sainz  Ferrari|-9|-1|1|-64%|$17.2m|$17.0m|1.1|2022-06-18 15:01:00
18|Alex Albon  ALB  Williams|9|0|0|-76%|$7.8m|$7.5m|1.23|2022-06-18 15:01:00
19|Lando Norris  NOR  Mclaren|-50|-37|-11|-98%|$15.8m|$16.0m|1.12|2022-06-18 15:01:00
