|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Mick Schumacher  SCH  Haas|2|0|0|98%|$6.3m|$6.5m|1.04|2022-08-06 09:30:01
1|Esteban Ocon  OCO  Alpine|0|0|0|85%|$12.3m|$12.0m|1.23|2022-08-06 09:30:01
2|Alex Albon  ALB  Williams|1|0|0|85%|$7.6m|$7.5m|1.08|2022-08-06 09:30:01
3|Nicholas Latifi  LAT  Williams|0|0|0|42%|$6.7m|$7.0m|0.79|2022-08-06 09:30:01
4|Lance Stroll  STR  Aston Martin|2|0|0|36%|$9.2m|$9.5m|1.34|2022-08-06 09:30:01
5|Lewis Hamilton  HAM  Mercedes|23|9|2|23%|$30.4m|$31.0m|0.92|2022-08-06 09:30:01
6|Yuki Tsunoda  TSU  AlphaTauri|33|5|2|3%|$8.3m|$8.5m|0.4|2022-08-06 09:30:01
7|Sebastian Vettel  VET  Aston Martin|1|0|0|-1%|$11.4m|$11.5m|1.02|2022-08-06 09:30:01
8|SAI  Carlos Sainz  Ferrari|-2|0|0|-3%|$17.2m|$17.0m|1.39|2022-08-06 09:30:01
9|Fernando Alonso  ALO  Alpine|-1|0|0|-10%|$12.6m|$12.5m|0.98|2022-08-06 09:30:01
10|Kevin Magnussen  MAG  Haas|0|0|0|-13%|$6.1m|$5.5m|1.1|2022-08-06 09:30:01
11|Guanyu Zhou  ZHO  Alfa Romeo|-7|-3|0|-21%|$8.2m|$8.0m|0.53|2022-08-06 09:30:01
12|Max Verstappen  VER  Red Bull|-2|-1|0|-40%|$30.4m|$30.5m|1.3|2022-08-06 09:30:01
13|Pierre Gasly  GAS  AlphaTauri|19|7|1|-43%|$12.9m|$13.5m|0.75|2022-08-06 09:30:01
14|Valtteri Bottas  BOT  Alfa Romeo|-2|-1|0|-44%|$9.6m|$9.0m|1.47|2022-08-06 09:30:01
15|Lando Norris  NOR  Mclaren|-20|-7|-1|-48%|$16.0m|$16.0m|1.09|2022-08-06 09:30:01
16|Charles Leclerc  LEC  Ferrari|-13|-2|-1|-74%|$18.8m|$18.0m|1.53|2022-08-06 09:30:01
17|George Russell  RUS  Mercedes|-28|-5|-1|-75%|$23.9m|$24.0m|1.19|2022-08-06 09:30:01
18|Sergio Perez  PER  Red Bull|-17|-2|0|-75%|$18.1m|$17.5m|1.46|2022-08-06 09:30:01
19|Daniel Ricciardo  RIC  Mclaren|-6|-1|0|-76%|$14.0m|$14.5m|0.51|2022-08-06 09:30:01
