|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Charles Leclerc  LEC  Ferrari|15|12|0|98%|$20.2m|$18.0m|1.43|2022-09-30 08:29:13
1|Max Verstappen  VER  Red Bull|11|9|0|90%|$31.5m|$30.5m|1.31|2022-09-30 08:29:13
2|Sergio Perez  PER  Red Bull|12|10|1|68%|$19.1m|$17.5m|1.39|2022-09-30 08:29:13
3|George Russell  RUS  Mercedes|4|3|0|45%|$24.2m|$24.0m|1.25|2022-09-30 08:29:13
4|SAI  Carlos Sainz  Ferrari|8|6|0|43%|$18.0m|$17.0m|1.33|2022-09-30 08:29:13
5|Esteban Ocon  OCO  Alpine|0|0|0|0%|$12.3m|$12.0m|1.18|2022-09-30 08:29:13
6|Alex Albon  ALB  Williams|0|0|0|0%|$7.7m|$7.5m|1.21|2022-09-30 08:29:13
7|Yuki Tsunoda  TSU  AlphaTauri|-6|-6|-1|-6%|$6.2m|$8.5m|0.51|2022-09-30 08:29:13
8|Sebastian Vettel  VET  Aston Martin|-7|-6|0|-9%|$11.0m|$11.5m|0.99|2022-09-30 08:29:13
9|Pierre Gasly  GAS  AlphaTauri|-13|-10|0|-18%|$11.7m|$13.5m|0.88|2022-09-30 08:29:13
10|Lance Stroll  STR  Aston Martin|-1|-1|0|-28%|$9.0m|$9.5m|1.16|2022-09-30 08:29:13
11|Mick Schumacher  SCH  Haas|-1|-1|0|-32%|$6.2m|$6.5m|1.14|2022-09-30 08:29:13
12|Valtteri Bottas  BOT  Alfa Romeo|-2|-1|0|-33%|$9.3m|$9.0m|1.13|2022-09-30 08:29:13
13|Lewis Hamilton  HAM  Mercedes|-34|-27|0|-34%|$26.5m|$31.0m|0.98|2022-09-30 08:29:13
14|Nicholas Latifi  LAT  Williams|-8|-6|0|-38%|$6.1m|$7.0m|0.81|2022-09-30 08:29:13
15|Guanyu Zhou  ZHO  Alfa Romeo|-11|-8|0|-47%|$7.0m|$8.0m|0.73|2022-09-30 08:29:13
16|Kevin Magnussen  MAG  Haas|0|0|0|-53%|$6.1m|$5.5m|1.17|2022-09-30 08:29:13
17|Daniel Ricciardo  RIC  Mclaren|-38|-30|-1|-55%|$9.9m|$14.5m|0.54|2022-09-30 08:29:13
18|Fernando Alonso  ALO  Alpine|-4|-3|0|-73%|$12.3m|$12.5m|1.09|2022-09-30 08:29:13
19|Lando Norris  NOR  Mclaren|-5|-4|-1|-81%|$15.5m|$16.0m|1.11|2022-09-30 08:29:13
