|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Guanyu Zhou  ZHO  Alfa Romeo|-11|-10|-4|78%|$8.4m|$8.0m|0.57|2022-06-20 07:58:48
1|Lance Stroll  STR  Aston Martin|37|22|1|76%|$9.0m|$9.5m|1.32|2022-06-20 07:58:48
2|Daniel Ricciardo  RIC  Mclaren|8|0|0|53%|$13.5m|$14.5m|0.56|2022-06-20 07:58:48
3|George Russell  RUS  Mercedes|12|5|1|41%|$23.8m|$24.0m|1.29|2022-06-20 07:58:48
4|Mick Schumacher  SCH  Haas|-1|-1|-1|19%|$6.2m|$6.5m|0.34|2022-06-20 07:58:48
5|Fernando Alonso  ALO  Alpine|1|1|1|12%|$12.4m|$12.5m|0.63|2022-06-20 07:58:48
6|Valtteri Bottas  BOT  Alfa Romeo|4|2|1|12%|$9.6m|$9.0m|2.01|2022-06-20 07:58:48
7|Nicholas Latifi  LAT  Williams|6|4|1|6%|$6.7m|$7.0m|1.21|2022-06-20 07:58:48
8|Lewis Hamilton  HAM  Mercedes|0|0|0|4%|$30.0m|$31.0m|0.75|2022-06-20 07:58:48
9|Sergio Perez  PER  Red Bull|1|1|-90|1%|$18.4m|$17.5m|1.56|2022-06-20 07:58:48
10|Pierre Gasly  GAS  AlphaTauri|-4|-1|0|0%|$13.0m|$13.5m|0.82|2022-06-20 07:58:48
11|Sebastian Vettel  VET  Aston Martin|-3|-1|0|-5%|$11.6m|$11.5m|0.93|2022-06-20 07:58:48
12|Yuki Tsunoda  TSU  AlphaTauri|-1|0|1|-8%|$8.3m|$8.5m|0.54|2022-06-20 07:58:48
13|Lando Norris  NOR  Mclaren|-5|-1|0|-15%|$15.7m|$16.0m|1.0|2022-06-20 07:58:48
14|Esteban Ocon  OCO  Alpine|-12|-9|-3|-15%|$12.4m|$12.0m|1.34|2022-06-20 07:58:48
15|Max Verstappen  VER  Red Bull|-18|-13|-5|-16%|$30.5m|$30.5m|1.25|2022-06-20 07:58:48
16|Kevin Magnussen  MAG  Haas|0|0|0|-18%|$6.1m|$5.5m|1.06|2022-06-20 07:58:48
17|Charles Leclerc  LEC  Ferrari|4|1|0|-49%|$18.8m|$18.0m|1.62|2022-06-20 07:58:48
18|SAI  Carlos Sainz  Ferrari|3|2|1|-62%|$17.2m|$17.0m|1.25|2022-06-20 07:58:48
19|Alex Albon  ALB  Williams|-12|-7|-3|-96%|$7.8m|$7.5m|1.18|2022-06-20 07:58:48
