|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Sergio Perez  PER  Red Bull|4|0|67|93%|$18.4m|$17.5m|1.56|2022-06-21 07:07:51
1|Lance Stroll  STR  Aston Martin|0|0|3|82%|$9.0m|$9.5m|1.32|2022-06-21 07:07:51
2|George Russell  RUS  Mercedes|16|0|19|63%|$23.8m|$24.0m|1.29|2022-06-21 07:07:51
3|Guanyu Zhou  ZHO  Alfa Romeo|-11|0|-13|58%|$8.4m|$8.0m|0.57|2022-06-21 07:07:51
4|Daniel Ricciardo  RIC  Mclaren|-1|0|-2|51%|$13.5m|$14.5m|0.56|2022-06-21 07:07:51
5|Fernando Alonso  ALO  Alpine|-1|0|6|30%|$12.4m|$12.5m|0.63|2022-06-21 07:07:51
6|Lewis Hamilton  HAM  Mercedes|15|0|17|21%|$30.0m|$31.0m|0.75|2022-06-21 07:07:51
7|Valtteri Bottas  BOT  Alfa Romeo|0|0|2|17%|$9.6m|$9.0m|2.01|2022-06-21 07:07:51
8|Mick Schumacher  SCH  Haas|-6|0|-9|8%|$6.2m|$6.5m|0.34|2022-06-21 07:07:51
9|Nicholas Latifi  LAT  Williams|-1|0|-1|5%|$6.7m|$7.0m|1.21|2022-06-21 07:07:51
10|Alex Albon  ALB  Williams|-1|0|1|1%|$7.7m|$7.5m|1.2|2022-06-21 07:07:51
11|Pierre Gasly  GAS  AlphaTauri|0|0|-1|-2%|$13.0m|$13.5m|0.82|2022-06-21 07:07:51
12|Sebastian Vettel  VET  Aston Martin|-1|0|-1|-6%|$11.6m|$11.5m|0.93|2022-06-21 07:07:51
13|Yuki Tsunoda  TSU  AlphaTauri|-1|0|-2|-8%|$8.3m|$8.5m|0.54|2022-06-21 07:07:51
14|Lando Norris  NOR  Mclaren|-1|0|-2|-19%|$15.7m|$16.0m|1.0|2022-06-21 07:07:51
15|Kevin Magnussen  MAG  Haas|-1|0|-2|-20%|$6.1m|$5.5m|1.06|2022-06-21 07:07:51
16|Charles Leclerc  LEC  Ferrari|0|0|2|-45%|$18.8m|$18.0m|1.62|2022-06-21 07:07:51
17|Esteban Ocon  OCO  Alpine|1|0|-24|-52%|$12.4m|$12.0m|1.34|2022-06-21 07:07:51
18|SAI  Carlos Sainz  Ferrari|1|0|4|-56%|$17.2m|$17.0m|1.25|2022-06-21 07:07:51
19|Max Verstappen  VER  Red Bull|0|0|-29|-62%|$30.5m|$30.5m|1.25|2022-06-21 07:07:51
