|Team|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Williams|0|0|0|96%|$7.2m|$7.0m|1.68|2022-06-30 08:41:50
1|Red Bull|-1|-1|0|64%|$32.5m|$32.5m|1.86|2022-06-30 08:41:50
2|Alpine|1|0|0|19%|$14.0m|$14.0m|1.37|2022-06-30 08:41:50
3|AlphaTauri|-1|0|0|-4%|$10.1m|$10.5m|0.98|2022-06-30 08:41:50
4|Haas|0|0|0|-30%|$6.3m|$6.0m|0.58|2022-06-30 08:41:50
5|Ferrari|0|1|0|-33%|$25.8m|$25.0m|1.78|2022-06-30 08:41:50
6|Mercedes|1|0|0|-40%|$33.7m|$34.5m|1.42|2022-06-30 08:41:50
7|Aston Martin|0|0|0|-57%|$11.2m|$11.5m|1.56|2022-06-30 08:41:50
8|Mclaren|0|0|0|-79%|$17.6m|$18.5m|1.03|2022-06-30 08:41:50
9|Alfa Romeo|1|1|1|-87%|$8.6m|$8.0m|2.07|2022-06-30 08:41:50
