|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Nicholas Latifi  LAT  Williams|3|1|1|85%|$6.7m|$7.0m|1.18|2022-07-06 08:18:14
1|Charles Leclerc  LEC  Ferrari|0|0|0|49%|$18.8m|$18.0m|1.57|2022-07-06 08:18:14
2|Alex Albon  ALB  Williams|0|0|0|43%|$7.6m|$7.5m|0.97|2022-07-06 08:18:14
3|Lewis Hamilton  HAM  Mercedes|0|0|0|35%|$30.1m|$31.0m|0.8|2022-07-06 08:18:14
4|Sergio Perez  PER  Red Bull|0|0|0|33%|$18.4m|$17.5m|1.6|2022-07-06 08:18:14
5|Daniel Ricciardo  RIC  Mclaren|-1|0|0|17%|$13.5m|$14.5m|0.54|2022-07-06 08:18:14
6|Mick Schumacher  SCH  Haas|1|1|0|14%|$6.2m|$6.5m|0.61|2022-07-06 08:18:14
7|Max Verstappen  VER  Red Bull|1|0|0|11%|$30.4m|$30.5m|1.18|2022-07-06 08:18:14
8|Fernando Alonso  ALO  Alpine|1|0|0|7%|$12.5m|$12.5m|0.86|2022-07-06 08:18:14
9|Esteban Ocon  OCO  Alpine|0|0|0|6%|$12.3m|$12.0m|1.15|2022-07-06 08:18:14
10|Valtteri Bottas  BOT  Alfa Romeo|-1|-1|-1|-1%|$9.7m|$9.0m|1.71|2022-07-06 08:18:14
11|George Russell  RUS  Mercedes|-3|-1|-1|-3%|$24.0m|$24.0m|1.15|2022-07-06 08:18:14
12|Lance Stroll  STR  Aston Martin|0|0|0|-4%|$9.1m|$9.5m|1.31|2022-07-06 08:18:14
13|Lando Norris  NOR  Mclaren|0|0|0|-21%|$15.7m|$16.0m|1.04|2022-07-06 08:18:14
14|Guanyu Zhou  ZHO  Alfa Romeo|1|0|0|-21%|$8.4m|$8.0m|0.48|2022-07-06 08:18:14
15|SAI  Carlos Sainz  Ferrari|0|0|0|-40%|$17.2m|$17.0m|1.41|2022-07-06 08:18:14
16|Pierre Gasly  GAS  AlphaTauri|-1|0|0|-44%|$12.9m|$13.5m|0.7|2022-07-06 08:18:14
17|Kevin Magnussen  MAG  Haas|0|0|0|-48%|$6.1m|$5.5m|1.2|2022-07-06 08:18:14
18|Yuki Tsunoda  TSU  AlphaTauri|0|0|0|-55%|$8.3m|$8.5m|0.53|2022-07-06 08:18:14
19|Sebastian Vettel  VET  Aston Martin|-1|-1|0|-56%|$11.5m|$11.5m|1.01|2022-07-06 08:18:14
