|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|George Russell  RUS  Mercedes|78|78|1|78%|$23.7m|$24.0m|1.31|2022-06-14 11:21:38
1|Pierre Gasly  GAS  AlphaTauri|71|71|0|71%|$12.9m|$13.5m|0.82|2022-06-14 11:21:38
2|Fernando Alonso  ALO  Alpine|68|68|0|68%|$12.2m|$12.5m|0.65|2022-06-14 11:21:38
3|Valtteri Bottas  BOT  Alfa Romeo|63|63|0|63%|$9.6m|$9.0m|2.01|2022-06-14 11:21:38
4|Guanyu Zhou  ZHO  Alfa Romeo|62|62|0|62%|$8.4m|$8.0m|0.42|2022-06-14 11:21:38
5|Mick Schumacher  SCH  Haas|15|15|0|15%|$6.2m|$6.5m|0.42|2022-06-14 11:21:38
6|Nicholas Latifi  LAT  Williams|11|11|1|11%|$6.6m|$7.0m|1.23|2022-06-14 11:21:38
7|Daniel Ricciardo  RIC  Mclaren|10|10|0|10%|$13.5m|$14.5m|0.56|2022-06-14 11:21:38
8|Charles Leclerc  LEC  Ferrari|9|9|-1|9%|$19.0m|$18.0m|1.65|2022-06-14 11:21:38
9|Yuki Tsunoda  TSU  AlphaTauri|7|7|0|7%|$8.3m|$8.5m|0.74|2022-06-14 11:21:38
10|Kevin Magnussen  MAG  Haas|6|6|0|6%|$6.1m|$5.5m|1.09|2022-06-14 11:21:38
11|Sergio Perez  PER  Red Bull|4|4|0|4%|$18.3m|$17.5m|1.82|2022-06-14 11:21:38
12|Max Verstappen  VER  Red Bull|-17|-17|0|-17%|$30.5m|$30.5m|1.23|2022-06-14 11:21:38
13|Esteban Ocon  OCO  Alpine|-22|-22|0|-22%|$12.4m|$12.0m|1.29|2022-06-14 11:21:38
14|Lando Norris  NOR  Mclaren|-33|-33|0|-33%|$15.8m|$16.0m|1.12|2022-06-14 11:21:38
15|SAI  Carlos Sainz  Ferrari|-40|-40|-1|-40%|$17.2m|$17.0m|1.1|2022-06-14 11:21:38
16|Sebastian Vettel  VET  Aston Martin|-43|-43|1|-43%|$11.4m|$11.5m|0.91|2022-06-14 11:21:38
17|Lance Stroll  STR  Aston Martin|-58|-58|0|-58%|$9.0m|$9.5m|1.26|2022-06-14 11:21:38
18|Alex Albon  ALB  Williams|-93|-93|0|-93%|$7.8m|$7.5m|1.23|2022-06-14 11:21:38
19|Lewis Hamilton  HAM  Mercedes|-99|-99|0|-99%|$30.1m|$31.0m|0.64|2022-06-14 11:21:38
