|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Lewis Hamilton  HAM  Mercedes|0|0|0|92%|$30.0m|$31.0m|0.75|2022-06-25 18:16:09
1|Lance Stroll  STR  Aston Martin|1|0|0|91%|$9.0m|$9.5m|1.32|2022-06-25 18:16:09
2|Daniel Ricciardo  RIC  Mclaren|0|0|0|47%|$13.5m|$14.5m|0.56|2022-06-25 18:16:09
3|George Russell  RUS  Mercedes|1|0|0|36%|$23.8m|$24.0m|1.29|2022-06-25 18:16:09
4|Fernando Alonso  ALO  Alpine|0|0|0|29%|$12.4m|$12.5m|0.63|2022-06-25 18:16:09
5|Valtteri Bottas  BOT  Alfa Romeo|1|0|0|19%|$9.6m|$9.0m|2.01|2022-06-25 18:16:09
6|Guanyu Zhou  ZHO  Alfa Romeo|0|0|0|14%|$8.4m|$8.0m|0.57|2022-06-25 18:16:09
7|Sergio Perez  PER  Red Bull|-1|-1|-1|8%|$18.4m|$17.5m|1.56|2022-06-25 18:16:09
8|Nicholas Latifi  LAT  Williams|0|0|0|5%|$6.7m|$7.0m|1.21|2022-06-25 18:16:09
9|Alex Albon  ALB  Williams|0|0|0|0%|$7.7m|$7.5m|1.2|2022-06-25 18:16:09
10|Pierre Gasly  GAS  AlphaTauri|0|0|0|-7%|$13.0m|$13.5m|0.82|2022-06-25 18:16:09
11|Sebastian Vettel  VET  Aston Martin|0|0|0|-8%|$11.6m|$11.5m|0.93|2022-06-25 18:16:09
12|Mick Schumacher  SCH  Haas|0|0|0|-10%|$6.2m|$6.5m|0.34|2022-06-25 18:16:09
13|Yuki Tsunoda  TSU  AlphaTauri|0|0|0|-13%|$8.3m|$8.5m|0.54|2022-06-25 18:16:09
14|Kevin Magnussen  MAG  Haas|0|0|0|-24%|$6.1m|$5.5m|1.06|2022-06-25 18:16:09
15|Lando Norris  NOR  Mclaren|0|0|0|-26%|$15.7m|$16.0m|1.0|2022-06-25 18:16:09
16|Charles Leclerc  LEC  Ferrari|-1|0|0|-41%|$18.8m|$18.0m|1.62|2022-06-25 18:16:09
17|Esteban Ocon  OCO  Alpine|0|0|0|-47%|$12.4m|$12.0m|1.34|2022-06-25 18:16:09
18|SAI  Carlos Sainz  Ferrari|0|0|0|-56%|$17.2m|$17.0m|1.25|2022-06-25 18:16:09
19|Max Verstappen  VER  Red Bull|0|0|0|-62%|$30.5m|$30.5m|1.25|2022-06-25 18:16:09
