|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Mick Schumacher  SCH  Haas|2|0|0|89%|$6.2m|$6.5m|0.94|2022-07-13 07:26:16
1|Fernando Alonso  ALO  Alpine|0|0|0|81%|$12.5m|$12.5m|0.91|2022-07-13 07:26:16
2|Nicholas Latifi  LAT  Williams|-1|-1|0|69%|$6.7m|$7.0m|0.98|2022-07-13 07:26:16
3|SAI  Carlos Sainz  Ferrari|5|5|2|60%|$17.2m|$17.0m|1.33|2022-07-13 07:26:16
4|Lando Norris  NOR  Mclaren|11|10|3|58%|$15.8m|$16.0m|1.11|2022-07-13 07:26:16
5|Charles Leclerc  LEC  Ferrari|-5|-6|-2|22%|$18.8m|$18.0m|1.72|2022-07-13 07:26:16
6|Max Verstappen  VER  Red Bull|2|2|1|13%|$30.4m|$30.5m|1.23|2022-07-13 07:26:16
7|George Russell  RUS  Mercedes|2|2|1|5%|$24.0m|$24.0m|1.18|2022-07-13 07:26:16
8|Esteban Ocon  OCO  Alpine|0|-1|0|4%|$12.3m|$12.0m|1.29|2022-07-13 07:26:16
9|Alex Albon  ALB  Williams|-1|-1|98|-1%|$7.5m|$7.5m|1.07|2022-07-13 07:26:16
10|Lance Stroll  STR  Aston Martin|-2|-1|0|-4%|$9.2m|$9.5m|1.31|2022-07-13 07:26:16
11|Sebastian Vettel  VET  Aston Martin|-2|-1|-1|-10%|$11.4m|$11.5m|0.99|2022-07-13 07:26:16
12|Lewis Hamilton  HAM  Mercedes|-2|-2|-1|-22%|$30.1m|$31.0m|0.85|2022-07-13 07:26:16
13|Daniel Ricciardo  RIC  Mclaren|-1|-1|0|-27%|$13.5m|$14.5m|0.59|2022-07-13 07:26:16
14|Guanyu Zhou  ZHO  Alfa Romeo|-6|-6|-2|-34%|$8.3m|$8.0m|0.51|2022-07-13 07:26:16
15|Kevin Magnussen  MAG  Haas|-1|-1|-1|-48%|$6.1m|$5.5m|1.37|2022-07-13 07:26:16
16|Yuki Tsunoda  TSU  AlphaTauri|0|0|0|-62%|$8.3m|$8.5m|0.51|2022-07-13 07:26:16
17|Sergio Perez  PER  Red Bull|-1|0|0|-69%|$18.4m|$17.5m|1.47|2022-07-13 07:26:16
18|Pierre Gasly  GAS  AlphaTauri|-1|-1|-1|-86%|$12.9m|$13.5m|0.69|2022-07-13 07:26:16
19|Valtteri Bottas  BOT  Alfa Romeo|-1|-1|0|-95%|$9.7m|$9.0m|1.67|2022-07-13 07:26:16
