|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|George Russell  RUS  Mercedes|4|3|0|95%|$23.8m|$24.0m|1.27|2022-09-17 12:25:29
1|SAI  Carlos Sainz  Ferrari|7|7|0|80%|$17.3m|$17.0m|1.39|2022-09-17 12:25:29
2|Sergio Perez  PER  Red Bull|11|11|1|72%|$18.1m|$17.5m|1.47|2022-09-17 12:25:29
3|Max Verstappen  VER  Red Bull|10|10|0|55%|$30.6m|$30.5m|1.35|2022-09-17 12:25:29
4|Charles Leclerc  LEC  Ferrari|14|13|0|40%|$19.0m|$18.0m|1.52|2022-09-17 12:25:29
5|Esteban Ocon  OCO  Alpine|0|0|0|0%|$12.3m|$12.0m|1.21|2022-09-17 12:25:29
6|Alex Albon  ALB  Williams|0|0|0|0%|$7.7m|$7.5m|1.21|2022-09-17 12:25:29
7|Fernando Alonso  ALO  Alpine|-1|-1|0|-1%|$12.6m|$12.5m|1.06|2022-09-17 12:25:29
8|Lando Norris  NOR  Mclaren|-3|-3|0|-3%|$15.8m|$16.0m|1.09|2022-09-17 12:25:29
9|Kevin Magnussen  MAG  Haas|0|0|0|-10%|$6.1m|$5.5m|1.17|2022-09-17 12:25:29
10|Lance Stroll  STR  Aston Martin|-1|-1|0|-26%|$9.1m|$9.5m|1.19|2022-09-17 12:25:29
11|Mick Schumacher  SCH  Haas|-1|-1|0|-27%|$6.3m|$6.5m|1.02|2022-09-17 12:25:29
12|Daniel Ricciardo  RIC  Mclaren|-41|-41|-1|-41%|$13.3m|$14.5m|0.4|2022-09-17 12:25:29
13|Guanyu Zhou  ZHO  Alfa Romeo|-10|-10|-1|-46%|$7.9m|$8.0m|0.65|2022-09-17 12:25:29
14|Valtteri Bottas  BOT  Alfa Romeo|-2|-2|0|-49%|$9.5m|$9.0m|1.11|2022-09-17 12:25:29
15|Lewis Hamilton  HAM  Mercedes|-40|-38|-1|-60%|$29.8m|$31.0m|0.87|2022-09-17 12:25:29
16|Yuki Tsunoda  TSU  AlphaTauri|-14|-14|0|-67%|$8.1m|$8.5m|0.44|2022-09-17 12:25:29
17|Sebastian Vettel  VET  Aston Martin|-7|-7|0|-73%|$11.7m|$11.5m|0.93|2022-09-17 12:25:29
18|Nicholas Latifi  LAT  Williams|-7|-7|0|-79%|$6.8m|$7.0m|0.73|2022-09-17 12:25:29
19|Pierre Gasly  GAS  AlphaTauri|-11|-10|0|-82%|$12.8m|$13.5m|0.81|2022-09-17 12:25:29
