|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|SAI  Carlos Sainz  Ferrari|9|7|0|93%|$18.0m|$17.0m|1.33|2022-10-01 08:14:52
1|Charles Leclerc  LEC  Ferrari|16|12|1|81%|$20.3m|$18.0m|1.42|2022-10-01 08:14:52
2|George Russell  RUS  Mercedes|5|4|1|72%|$24.2m|$24.0m|1.25|2022-10-01 08:14:52
3|Max Verstappen  VER  Red Bull|12|9|1|60%|$31.6m|$30.5m|1.31|2022-10-01 08:14:52
4|Sergio Perez  PER  Red Bull|13|9|1|42%|$19.2m|$17.5m|1.38|2022-10-01 08:14:52
5|Esteban Ocon  OCO  Alpine|0|0|0|0%|$12.3m|$12.0m|1.18|2022-10-01 08:14:52
6|Fernando Alonso  ALO  Alpine|-2|-2|0|-2%|$12.2m|$12.5m|1.1|2022-10-01 08:14:52
7|Lando Norris  NOR  Mclaren|-5|-4|0|-9%|$15.4m|$16.0m|1.12|2022-10-01 08:14:52
8|Alex Albon  ALB  Williams|-2|-2|0|-9%|$7.7m|$7.5m|1.21|2022-10-01 08:14:52
9|Guanyu Zhou  ZHO  Alfa Romeo|-11|-8|-1|-15%|$6.9m|$8.0m|0.74|2022-10-01 08:14:52
10|Lance Stroll  STR  Aston Martin|-1|0|0|-35%|$9.0m|$9.5m|1.16|2022-10-01 08:14:52
11|Mick Schumacher  SCH  Haas|-2|-1|-1|-40%|$6.2m|$6.5m|1.14|2022-10-01 08:14:52
12|Yuki Tsunoda  TSU  AlphaTauri|-23|-17|-1|-44%|$6.1m|$8.5m|0.52|2022-10-01 08:14:52
13|Valtteri Bottas  BOT  Alfa Romeo|-2|-2|0|-47%|$9.3m|$9.0m|1.13|2022-10-01 08:14:52
14|Lewis Hamilton  HAM  Mercedes|-36|-27|-2|-50%|$26.3m|$31.0m|0.98|2022-10-01 08:14:52
15|Sebastian Vettel  VET  Aston Martin|-8|-6|0|-56%|$11.0m|$11.5m|0.99|2022-10-01 08:14:52
16|Kevin Magnussen  MAG  Haas|-1|-1|0|-57%|$6.1m|$5.5m|1.17|2022-10-01 08:14:52
17|Nicholas Latifi  LAT  Williams|-9|-6|0|-88%|$6.1m|$7.0m|0.81|2022-10-01 08:14:52
18|Daniel Ricciardo  RIC  Mclaren|-40|-30|-2|-91%|$9.7m|$14.5m|0.55|2022-10-01 08:14:52
19|Pierre Gasly  GAS  AlphaTauri|-13|-9|0|-95%|$11.7m|$13.5m|0.88|2022-10-01 08:14:52
