|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Mick Schumacher  SCH  Haas|2|1|1|97%|$6.3m|$6.5m|1.04|2022-08-09 12:54:59
1|Yuki Tsunoda  TSU  AlphaTauri|-1|0|0|93%|$8.4m|$8.5m|0.39|2022-08-09 12:54:59
2|Pierre Gasly  GAS  AlphaTauri|-1|0|0|90%|$13.0m|$13.5m|0.75|2022-08-09 12:54:59
3|Alex Albon  ALB  Williams|0|0|0|85%|$7.6m|$7.5m|1.08|2022-08-09 12:54:59
4|Nicholas Latifi  LAT  Williams|6|1|1|80%|$6.7m|$7.0m|0.79|2022-08-09 12:54:59
5|Esteban Ocon  OCO  Alpine|0|0|0|69%|$12.3m|$12.0m|1.23|2022-08-09 12:54:59
6|Sebastian Vettel  VET  Aston Martin|4|1|1|39%|$11.4m|$11.5m|1.02|2022-08-09 12:54:59
7|Lewis Hamilton  HAM  Mercedes|0|0|0|1%|$30.6m|$31.0m|0.91|2022-08-09 12:54:59
8|Lance Stroll  STR  Aston Martin|1|0|0|0%|$9.1m|$9.5m|1.35|2022-08-09 12:54:59
9|Guanyu Zhou  ZHO  Alfa Romeo|-1|0|0|-1%|$8.1m|$8.0m|0.54|2022-08-09 12:54:59
10|Kevin Magnussen  MAG  Haas|0|0|0|-5%|$6.1m|$5.5m|1.1|2022-08-09 12:54:59
11|Daniel Ricciardo  RIC  Mclaren|-1|-1|0|-17%|$13.8m|$14.5m|0.52|2022-08-09 12:54:59
12|SAI  Carlos Sainz  Ferrari|0|0|0|-20%|$17.2m|$17.0m|1.39|2022-08-09 12:54:59
13|George Russell  RUS  Mercedes|0|0|0|-26%|$23.8m|$24.0m|1.19|2022-08-09 12:54:59
14|Fernando Alonso  ALO  Alpine|0|0|0|-26%|$12.6m|$12.5m|0.98|2022-08-09 12:54:59
15|Charles Leclerc  LEC  Ferrari|-1|-1|0|-37%|$18.7m|$18.0m|1.54|2022-08-09 12:54:59
16|Max Verstappen  VER  Red Bull|0|0|0|-49%|$30.4m|$30.5m|1.3|2022-08-09 12:54:59
17|Lando Norris  NOR  Mclaren|0|0|0|-58%|$15.9m|$16.0m|1.09|2022-08-09 12:54:59
18|Sergio Perez  PER  Red Bull|-1|-1|-1|-65%|$18.0m|$17.5m|1.47|2022-08-09 12:54:59
19|Valtteri Bottas  BOT  Alfa Romeo|-1|0|0|-76%|$9.6m|$9.0m|1.47|2022-08-09 12:54:59
