|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Sergio Perez  PER  Red Bull|10|3|0|98%|$18.2m|$17.5m|1.83|2022-06-13 12:20:15
1|George Russell  RUS  Mercedes|9|3|0|72%|$23.7m|$24.0m|1.31|2022-06-13 12:20:15
2|Pierre Gasly  GAS  AlphaTauri|4|1|0|70%|$12.9m|$13.5m|0.82|2022-06-13 12:20:15
3|Fernando Alonso  ALO  Alpine|2|1|0|66%|$12.2m|$12.5m|0.65|2022-06-13 12:20:15
4|Valtteri Bottas  BOT  Alfa Romeo|-1|0|0|66%|$9.6m|$9.0m|2.01|2022-06-13 12:20:15
5|Guanyu Zhou  ZHO  Alfa Romeo|0|0|0|57%|$8.4m|$8.0m|0.42|2022-06-13 12:20:15
6|Charles Leclerc  LEC  Ferrari|-7|-2|0|19%|$19.0m|$18.0m|1.65|2022-06-13 12:20:15
7|Mick Schumacher  SCH  Haas|1|0|0|14%|$6.2m|$6.5m|0.42|2022-06-13 12:20:15
8|Kevin Magnussen  MAG  Haas|-1|0|0|8%|$6.1m|$5.5m|1.09|2022-06-13 12:20:15
9|Daniel Ricciardo  RIC  Mclaren|0|0|0|5%|$13.5m|$14.5m|0.56|2022-06-13 12:20:15
10|Yuki Tsunoda  TSU  AlphaTauri|3|1|1|4%|$8.3m|$8.5m|0.74|2022-06-13 12:20:15
11|Nicholas Latifi  LAT  Williams|4|1|0|0%|$6.6m|$7.0m|1.23|2022-06-13 12:20:15
12|Max Verstappen  VER  Red Bull|0|0|0|-18%|$30.5m|$30.5m|1.23|2022-06-13 12:20:15
13|Esteban Ocon  OCO  Alpine|-3|-1|0|-22%|$12.4m|$12.0m|1.29|2022-06-13 12:20:15
14|Lando Norris  NOR  Mclaren|-2|-1|0|-32%|$15.8m|$16.0m|1.12|2022-06-13 12:20:15
15|SAI  Carlos Sainz  Ferrari|-4|-1|-1|-36%|$17.2m|$17.0m|1.1|2022-06-13 12:20:15
16|Sebastian Vettel  VET  Aston Martin|3|1|0|-49%|$11.4m|$11.5m|0.91|2022-06-13 12:20:15
17|Lance Stroll  STR  Aston Martin|-1|0|0|-63%|$9.0m|$9.5m|1.26|2022-06-13 12:20:15
18|Alex Albon  ALB  Williams|1|0|0|-95%|$7.8m|$7.5m|1.23|2022-06-13 12:20:15
19|Lewis Hamilton  HAM  Mercedes|-1|0|0|-98%|$30.1m|$31.0m|0.64|2022-06-13 12:20:15
