|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Lando Norris  NOR  Mclaren|45|1|0|93%|$15.8m|$16.0m|1.11|2022-07-13 17:51:07
1|SAI  Carlos Sainz  Ferrari|33|13|0|88%|$17.2m|$17.0m|1.33|2022-07-13 17:51:07
2|Mick Schumacher  SCH  Haas|-2|-1|0|88%|$6.2m|$6.5m|0.94|2022-07-13 17:51:07
3|Fernando Alonso  ALO  Alpine|0|0|0|81%|$12.5m|$12.5m|0.91|2022-07-13 17:51:07
4|Nicholas Latifi  LAT  Williams|-10|-5|0|60%|$6.7m|$7.0m|0.98|2022-07-13 17:51:07
5|George Russell  RUS  Mercedes|20|14|1|23%|$24.0m|$24.0m|1.18|2022-07-13 17:51:07
6|Max Verstappen  VER  Red Bull|12|6|1|23%|$30.4m|$30.5m|1.23|2022-07-13 17:51:07
7|Lance Stroll  STR  Aston Martin|23|29|0|20%|$9.2m|$9.5m|1.31|2022-07-13 17:51:07
8|Esteban Ocon  OCO  Alpine|-6|-1|0|-1%|$12.3m|$12.0m|1.29|2022-07-13 17:51:07
9|Charles Leclerc  LEC  Ferrari|-38|-15|0|-10%|$18.8m|$18.0m|1.72|2022-07-13 17:51:07
10|Sebastian Vettel  VET  Aston Martin|-5|-2|0|-14%|$11.4m|$11.5m|0.99|2022-07-13 17:51:07
11|Alex Albon  ALB  Williams|-29|-13|0|-29%|$7.5m|$7.5m|1.07|2022-07-13 17:51:07
12|Daniel Ricciardo  RIC  Mclaren|-6|-2|0|-32%|$13.5m|$14.5m|0.59|2022-07-13 17:51:07
13|Lewis Hamilton  HAM  Mercedes|-18|-7|-1|-38%|$30.1m|$31.0m|0.85|2022-07-13 17:51:07
14|Kevin Magnussen  MAG  Haas|-6|-3|0|-53%|$6.1m|$5.5m|1.37|2022-07-13 17:51:07
15|Guanyu Zhou  ZHO  Alfa Romeo|-36|-15|-1|-64%|$8.3m|$8.0m|0.51|2022-07-13 17:51:07
16|Yuki Tsunoda  TSU  AlphaTauri|-3|-1|0|-65%|$8.3m|$8.5m|0.51|2022-07-13 17:51:07
17|Sergio Perez  PER  Red Bull|-2|0|0|-71%|$18.4m|$17.5m|1.47|2022-07-13 17:51:07
18|Pierre Gasly  GAS  AlphaTauri|-1|0|0|-86%|$12.9m|$13.5m|0.69|2022-07-13 17:51:07
19|Valtteri Bottas  BOT  Alfa Romeo|1|2|0|-93%|$9.7m|$9.0m|1.67|2022-07-13 17:51:07
