|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Nicholas Latifi  LAT  Williams|5|5|1|95%|$6.6m|$7.0m|1.23|2022-06-19 17:13:35
1|Guanyu Zhou  ZHO  Alfa Romeo|7|6|1|86%|$8.4m|$8.0m|0.52|2022-06-19 17:13:35
2|Sergio Perez  PER  Red Bull|-6|-5|-1|64%|$18.3m|$17.5m|1.57|2022-06-19 17:13:35
3|Daniel Ricciardo  RIC  Mclaren|1|0|0|45%|$13.5m|$14.5m|0.56|2022-06-19 17:13:35
4|Lance Stroll  STR  Aston Martin|2|2|0|38%|$9.0m|$9.5m|1.32|2022-06-19 17:13:35
5|George Russell  RUS  Mercedes|7|6|2|27%|$23.8m|$24.0m|1.29|2022-06-19 17:13:35
6|Mick Schumacher  SCH  Haas|1|0|0|20%|$6.2m|$6.5m|0.34|2022-06-19 17:13:35
7|Fernando Alonso  ALO  Alpine|0|-1|0|11%|$12.4m|$12.5m|0.66|2022-06-19 17:13:35
8|Valtteri Bottas  BOT  Alfa Romeo|1|1|0|8%|$9.6m|$9.0m|1.97|2022-06-19 17:13:35
9|Pierre Gasly  GAS  AlphaTauri|-4|-4|-1|5%|$13.0m|$13.5m|0.82|2022-06-19 17:13:35
10|Lewis Hamilton  HAM  Mercedes|0|0|0|4%|$30.0m|$31.0m|0.75|2022-06-19 17:13:35
11|Max Verstappen  VER  Red Bull|1|1|0|1%|$30.5m|$30.5m|1.25|2022-06-19 17:13:35
12|Sebastian Vettel  VET  Aston Martin|-3|-3|-1|-1%|$11.6m|$11.5m|0.93|2022-06-19 17:13:35
13|Esteban Ocon  OCO  Alpine|3|3|0|-4%|$12.4m|$12.0m|1.34|2022-06-19 17:13:35
14|Yuki Tsunoda  TSU  AlphaTauri|-1|-1|0|-6%|$8.3m|$8.5m|0.54|2022-06-19 17:13:35
15|Lando Norris  NOR  Mclaren|-4|-3|0|-8%|$15.7m|$16.0m|1.0|2022-06-19 17:13:35
16|Kevin Magnussen  MAG  Haas|0|0|0|-18%|$6.1m|$5.5m|1.06|2022-06-19 17:13:35
17|Charles Leclerc  LEC  Ferrari|3|4|1|-54%|$18.8m|$18.0m|1.62|2022-06-19 17:13:35
18|SAI  Carlos Sainz  Ferrari|0|0|0|-65%|$17.2m|$17.0m|1.25|2022-06-19 17:13:35
19|Alex Albon  ALB  Williams|0|0|0|-84%|$7.8m|$7.5m|1.18|2022-06-19 17:13:35
