|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Esteban Ocon  OCO  Alpine|-34|-34|-34|64%|$12.3m|$12.0m|1.29|2022-07-27 06:12:12
1|Nicholas Latifi  LAT  Williams|-25|-25|-25|59%|$6.7m|$7.0m|0.78|2022-07-27 06:12:12
2|Lance Stroll  STR  Aston Martin|-23|-23|-23|45%|$9.2m|$9.5m|1.35|2022-07-27 06:12:12
3|Alex Albon  ALB  Williams|-17|-17|-17|40%|$7.6m|$7.5m|1.1|2022-07-27 06:12:12
4|Mick Schumacher  SCH  Haas|-16|-16|-16|32%|$6.3m|$6.5m|1.02|2022-07-27 06:12:12
5|Lando Norris  NOR  Mclaren|-4|-4|-4|10%|$15.9m|$16.0m|1.1|2022-07-27 06:12:12
6|Valtteri Bottas  BOT  Alfa Romeo|-3|-3|-3|5%|$9.6m|$9.0m|1.6|2022-07-27 06:12:12
7|Sergio Perez  PER  Red Bull|0|0|0|0%|$18.2m|$17.5m|1.47|2022-07-27 06:12:12
8|Max Verstappen  VER  Red Bull|1|1|1|-1%|$30.4m|$30.5m|1.25|2022-07-27 06:12:12
9|Fernando Alonso  ALO  Alpine|4|4|4|-7%|$12.6m|$12.5m|0.98|2022-07-27 06:12:12
10|Daniel Ricciardo  RIC  Mclaren|16|16|16|-15%|$13.5m|$14.5m|0.6|2022-07-27 06:12:12
11|Guanyu Zhou  ZHO  Alfa Romeo|10|10|10|-21%|$8.2m|$8.0m|0.54|2022-07-27 06:12:12
12|Kevin Magnussen  MAG  Haas|13|13|13|-23%|$6.1m|$5.5m|1.2|2022-07-27 06:12:12
13|Sebastian Vettel  VET  Aston Martin|12|12|12|-26%|$11.4m|$11.5m|0.99|2022-07-27 06:12:12
14|Charles Leclerc  LEC  Ferrari|14|14|14|-31%|$18.8m|$18.0m|1.6|2022-07-27 06:12:12
15|George Russell  RUS  Mercedes|7|7|7|-33%|$24.3m|$24.0m|1.17|2022-07-27 06:12:12
16|Pierre Gasly  GAS  AlphaTauri|23|23|23|-51%|$12.9m|$13.5m|0.72|2022-07-27 06:12:12
17|Yuki Tsunoda  TSU  AlphaTauri|22|22|22|-51%|$8.3m|$8.5m|0.45|2022-07-27 06:12:12
18|Lewis Hamilton  HAM  Mercedes|27|27|27|-62%|$30.1m|$31.0m|0.88|2022-07-27 06:12:12
19|SAI  Carlos Sainz  Ferrari|27|27|27|-69%|$17.3m|$17.0m|1.37|2022-07-27 06:12:12
