|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Fernando Alonso  ALO  Alpine|1|0|1|97%|$12.4m|$12.5m|0.63|2022-07-01 17:09:46
1|Lewis Hamilton  HAM  Mercedes|2|0|1|93%|$30.0m|$31.0m|0.75|2022-07-01 17:09:46
2|Sergio Perez  PER  Red Bull|-4|0|-3|79%|$18.4m|$17.5m|1.56|2022-07-01 17:09:46
3|George Russell  RUS  Mercedes|6|0|2|68%|$23.8m|$24.0m|1.29|2022-07-01 17:09:46
4|Nicholas Latifi  LAT  Williams|1|0|0|50%|$6.7m|$7.0m|1.21|2022-07-01 17:09:46
5|Daniel Ricciardo  RIC  Mclaren|-1|0|0|38%|$13.5m|$14.5m|0.56|2022-07-01 17:09:46
6|Valtteri Bottas  BOT  Alfa Romeo|2|0|1|33%|$9.6m|$9.0m|2.01|2022-07-01 17:09:46
7|Lance Stroll  STR  Aston Martin|-1|0|0|19%|$9.1m|$9.5m|1.31|2022-07-01 17:09:46
8|Esteban Ocon  OCO  Alpine|0|0|0|17%|$12.3m|$12.0m|1.35|2022-07-01 17:09:46
9|Max Verstappen  VER  Red Bull|2|0|-1|8%|$30.4m|$30.5m|1.25|2022-07-01 17:09:46
10|Sebastian Vettel  VET  Aston Martin|-4|0|-2|0%|$11.6m|$11.5m|0.93|2022-07-01 17:09:46
11|Alex Albon  ALB  Williams|2|0|2|-7%|$7.6m|$7.5m|1.21|2022-07-01 17:09:46
12|Pierre Gasly  GAS  AlphaTauri|-3|0|-2|-16%|$13.0m|$13.5m|0.82|2022-07-01 17:09:46
13|Yuki Tsunoda  TSU  AlphaTauri|-2|0|-1|-19%|$8.3m|$8.5m|0.54|2022-07-01 17:09:46
14|Charles Leclerc  LEC  Ferrari|4|0|2|-30%|$18.8m|$18.0m|1.62|2022-07-01 17:09:46
15|SAI  Carlos Sainz  Ferrari|0|0|0|-31%|$17.2m|$17.0m|1.25|2022-07-01 17:09:46
16|Kevin Magnussen  MAG  Haas|-1|0|0|-31%|$6.1m|$5.5m|1.06|2022-07-01 17:09:46
17|Mick Schumacher  SCH  Haas|-3|0|0|-33%|$6.2m|$6.5m|0.34|2022-07-01 17:09:46
18|Lando Norris  NOR  Mclaren|0|0|1|-41%|$15.7m|$16.0m|1.0|2022-07-01 17:09:46
19|Guanyu Zhou  ZHO  Alfa Romeo|-1|0|0|-42%|$8.4m|$8.0m|0.57|2022-07-01 17:09:46
