|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Charles Leclerc  LEC  Ferrari|14|12|0|87%|$20.4m|$18.0m|1.46|2022-10-02 11:35:29
1|SAI  Carlos Sainz  Ferrari|8|6|0|49%|$18.1m|$17.0m|1.34|2022-10-02 11:35:29
2|Max Verstappen  VER  Red Bull|11|9|1|40%|$31.7m|$30.5m|1.25|2022-10-02 11:35:29
3|Sergio Perez  PER  Red Bull|12|9|0|27%|$19.3m|$17.5m|1.43|2022-10-02 11:35:29
4|George Russell  RUS  Mercedes|2|2|0|2%|$24.3m|$24.0m|1.18|2022-10-02 11:35:29
5|Esteban Ocon  OCO  Alpine|0|0|0|0%|$12.3m|$12.0m|1.07|2022-10-02 11:35:29
6|Yuki Tsunoda  TSU  AlphaTauri|0|0|99|0%|$5.9m|$8.5m|0.45|2022-10-02 11:35:29
7|Sebastian Vettel  VET  Aston Martin|-7|-6|0|-11%|$10.9m|$11.5m|1.04|2022-10-02 11:35:29
8|Alex Albon  ALB  Williams|-2|-1|0|-21%|$7.7m|$7.5m|1.08|2022-10-02 11:35:29
9|Fernando Alonso  ALO  Alpine|-4|-4|0|-33%|$12.2m|$12.5m|1.04|2022-10-02 11:35:29
10|Lando Norris  NOR  Mclaren|-5|-4|-1|-41%|$15.4m|$16.0m|1.17|2022-10-02 11:35:29
11|Lance Stroll  STR  Aston Martin|-1|-1|0|-44%|$9.0m|$9.5m|1.26|2022-10-02 11:35:29
12|Nicholas Latifi  LAT  Williams|-8|-6|0|-44%|$6.0m|$7.0m|0.69|2022-10-02 11:35:29
13|Mick Schumacher  SCH  Haas|-1|-1|0|-48%|$6.2m|$6.5m|1.1|2022-10-02 11:35:29
14|Daniel Ricciardo  RIC  Mclaren|-36|-29|-1|-54%|$9.4m|$14.5m|0.68|2022-10-02 11:35:29
15|Kevin Magnussen  MAG  Haas|-1|-1|0|-61%|$6.1m|$5.5m|1.15|2022-10-02 11:35:29
16|Valtteri Bottas  BOT  Alfa Romeo|-2|-2|0|-63%|$9.3m|$9.0m|1.16|2022-10-02 11:35:29
17|Pierre Gasly  GAS  AlphaTauri|-12|-10|-1|-84%|$11.6m|$13.5m|0.88|2022-10-02 11:35:29
18|Lewis Hamilton  HAM  Mercedes|-32|-26|-1|-90%|$26.1m|$31.0m|0.95|2022-10-02 11:35:29
19|Guanyu Zhou  ZHO  Alfa Romeo|-11|-9|0|-92%|$6.9m|$8.0m|0.65|2022-10-02 11:35:29
