|Driver|12 Hour|3 Hour|Latest|Sentiment|ts
0|Pierre Gasly  GAS  AlphaTauri|0|0|0|78%|2022-06-08 21:23:32
1|George Russell  RUS  Mercedes|0|0|0|75%|2022-06-08 21:23:32
2|Mick Schumacher  SCH  Haas|-4|0|0|55%|2022-06-08 21:23:32
3|Charles Leclerc  LEC  Ferrari|1|0|0|36%|2022-06-08 21:23:32
4|Lance Stroll  STR  Aston Martin|36|13|3|36%|2022-06-08 21:23:32
5|Kevin Magnussen  MAG  Haas|1|0|0|19%|2022-06-08 21:23:32
6|Valtteri Bottas  BOT  Alfa Romeo|7|1|0|13%|2022-06-08 21:23:32
7|Lando Norris  NOR  Mclaren|-7|0|0|9%|2022-06-08 21:23:32
8|Max Verstappen  VER  Red Bull|0|0|0|4%|2022-06-08 21:23:32
9|Sergio Perez  PER  Red Bull|0|0|0|0%|2022-06-08 21:23:32
10|Fernando Alonso  ALO  Alpine|-1|0|0|-8%|2022-06-08 21:23:32
11|Guanyu Zhou  ZHO  Alfa Romeo|-17|-5|-1|-17%|2022-06-08 21:23:32
12|SAI  Carlos Sainz  Ferrari|2|0|0|-23%|2022-06-08 21:23:32
13|Nicholas Latifi  LAT  Williams|0|0|0|-31%|2022-06-08 21:23:32
14|Esteban Ocon  OCO  Alpine|-7|0|0|-42%|2022-06-08 21:23:32
15|Alex Albon  ALB  Williams|-13|-2|0|-46%|2022-06-08 21:23:32
16|Yuki Tsunoda  TSU  AlphaTauri|0|0|0|-53%|2022-06-08 21:23:32
17|Sebastian Vettel  VET  Aston Martin|0|0|0|-78%|2022-06-08 21:23:32
18|Lewis Hamilton  HAM  Mercedes|-1|0|0|-80%|2022-06-08 21:23:32
19|Daniel Ricciardo  RIC  Mclaren|-7|-1|-1|-86%|2022-06-08 21:23:32
